,index,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
10,12452,114516,1,Cash loans,M,Y,N,0,238500.0,1080504.0,31095.0,774000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.022625,-15914,-356,-7231.0,-3704,10.0,1,1,0,1,0,0,Laborers,2.0,2,2,FRIDAY,17,0,0,0,1,1,0,Business Entity Type 3,,0.7049205100158059,0.4329616670974407,0.0165,,0.9781,,,0.0,0.069,0.0417,,,,0.013000000000000001,,,0.0168,,0.9782,,,0.0,0.069,0.0417,,,,0.0135,,,0.0167,,0.9781,,,0.0,0.069,0.0417,,,,0.0132,,,,block of flats,0.0381,Block,No,2.0,0.0,2.0,0.0,-16.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,132193,253318,0,Cash loans,F,Y,Y,0,247500.0,472500.0,44766.0,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.007305,-20906,365243,-1019.0,-552,0.0,1,0,0,1,0,0,,2.0,3,3,TUESDAY,14,0,0,0,0,0,0,XNA,,0.02654642540948168,,0.018000000000000002,0.0185,0.9851,0.7959999999999999,0.0025,0.0,0.0345,0.1667,0.2083,0.0131,0.0147,0.0184,0.0,0.0,0.0179,0.018000000000000002,0.9841,0.7909,0.0025,0.0,0.0345,0.1667,0.2083,0.0046,0.0156,0.0188,0.0,0.0,0.0182,0.0185,0.9851,0.7987,0.0025,0.0,0.0345,0.1667,0.2083,0.0134,0.015,0.0187,0.0,0.0,reg oper account,block of flats,0.016,"Stone, brick",No,2.0,0.0,2.0,0.0,-1247.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,265828,407932,0,Cash loans,F,N,Y,0,135000.0,1288350.0,37800.0,1125000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.011703,-20549,365243,-5479.0,-3075,,1,0,0,1,0,0,,2.0,2,2,SATURDAY,12,0,0,0,0,0,0,XNA,,0.3346798897346874,0.7407990879702335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1393.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,46193,153518,0,Cash loans,M,N,N,0,189000.0,450000.0,24412.5,450000.0,Unaccompanied,Pensioner,Lower secondary,Civil marriage,House / apartment,0.032561,-22294,365243,-13293.0,-4119,,1,0,0,1,1,0,,2.0,1,1,MONDAY,12,1,0,0,1,0,0,XNA,,0.5171175083803762,0.7366226976503176,0.0629,0.3741,0.9816,0.7484,0.0507,0.36,0.2069,0.625,0.0417,0.4765,0.0252,0.5502,0.1197,0.5206,0.0641,0.3882,0.9816,0.7583,0.0511,0.3625,0.2069,0.625,0.0417,0.4874,0.0275,0.5732,0.1206,0.5511,0.0635,0.3741,0.9816,0.7518,0.051,0.36,0.2069,0.625,0.0417,0.4848,0.0257,0.5601,0.1203,0.5315,reg oper account,block of flats,0.5459,"Stone, brick",No,0.0,0.0,0.0,0.0,-640.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0
14,144554,267616,0,Revolving loans,F,N,Y,0,112500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.031329,-13579,-2354,-5683.0,-3260,,1,1,0,1,0,0,,2.0,2,2,MONDAY,15,0,0,0,0,0,0,Medicine,,0.6756569223452581,0.6023863442690867,0.6113,0.4339,0.9871,0.8232,0.14300000000000002,0.68,0.5862,0.3333,0.375,0.2776,0.4976,0.6428,0.0039,0.006999999999999999,0.6229,0.4503,0.9871,0.8301,0.1443,0.6848,0.5862,0.3333,0.375,0.2839,0.5436,0.6698,0.0039,0.0074,0.6173,0.4339,0.9871,0.8256,0.1439,0.68,0.5862,0.3333,0.375,0.2824,0.5062,0.6544,0.0039,0.0072,not specified,block of flats,0.5853,Panel,No,0.0,0.0,0.0,0.0,-2151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
15,305642,454117,0,Revolving loans,F,Y,Y,1,202500.0,765000.0,38250.0,765000.0,Family,State servant,Higher education,Married,House / apartment,0.025164,-13752,-5205,-1126.0,-4369,2.0,1,1,0,1,0,0,High skill tech staff,3.0,2,2,TUESDAY,16,0,0,0,0,0,0,University,,0.7066641705968951,,0.1284,0.1137,0.9921,0.9592,0.0574,0.14,0.1207,0.2917,0.2917,0.0218,0.1034,0.1184,0.0,0.0367,0.1292,0.11800000000000001,0.9871,0.9608,0.0579,0.0806,0.069,0.25,0.2917,0.0223,0.1129,0.1135,0.0,0.0,0.1296,0.1137,0.9921,0.9597,0.0577,0.14,0.1207,0.2917,0.2917,0.0222,0.1052,0.1205,0.0,0.0374,reg oper account,block of flats,0.1016,Panel,No,,,,,-477.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,187164,316973,0,Cash loans,F,N,Y,0,112500.0,247275.0,17338.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,-19061,-9794,-9715.0,-2580,,1,1,1,1,0,0,Cooking staff,1.0,2,2,TUESDAY,12,0,0,0,0,0,0,Kindergarten,,0.5079828727062519,0.3296550543128238,0.1856,0.1518,0.9866,0.8164,0.033,0.2,0.1724,0.3333,0.375,0.0857,0.1513,0.1913,0.0,0.0,0.1891,0.1575,0.9866,0.8236,0.0333,0.2014,0.1724,0.3333,0.375,0.0876,0.1653,0.1993,0.0,0.0,0.1874,0.1518,0.9866,0.8189,0.0332,0.2,0.1724,0.3333,0.375,0.0872,0.1539,0.1947,0.0,0.0,reg oper account,block of flats,0.1505,Block,No,2.0,1.0,2.0,1.0,-966.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0
17,257383,397850,0,Cash loans,M,N,N,0,202500.0,673659.0,69025.5,648000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.019101,-13515,-1164,-334.0,-2985,,1,1,0,1,1,0,Laborers,1.0,2,2,SUNDAY,10,0,0,0,0,1,1,Construction,,0.4887966230639687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1287.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
18,143412,266288,0,Cash loans,F,N,N,1,202500.0,1345500.0,53361.0,1345500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.025164,-16856,-888,-7120.0,-401,,1,1,0,1,0,0,Sales staff,2.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Trade: type 3,0.4262875996781464,0.635286285745132,0.6347055309763198,0.066,0.079,0.9767,0.6804,0.0335,0.0,0.1379,0.1667,0.2083,0.0903,0.0538,0.0504,0.0039,0.0612,0.0672,0.08199999999999999,0.9767,0.6929,0.0338,0.0,0.1379,0.1667,0.2083,0.0924,0.0588,0.0525,0.0039,0.0554,0.0666,0.079,0.9767,0.6847,0.0337,0.0,0.1379,0.1667,0.2083,0.0919,0.0547,0.0513,0.0039,0.0625,reg oper account,block of flats,0.051,Panel,No,0.0,0.0,0.0,0.0,-27.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0
19,267290,409684,1,Cash loans,M,Y,N,1,126000.0,1024740.0,52452.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003813,-13590,-773,-3713.0,-4372,13.0,1,1,0,1,0,0,Laborers,3.0,2,2,SUNDAY,8,0,0,0,0,0,0,Self-employed,,0.291786562046413,0.7700870700124128,0.1227,0.1057,0.9811,0.7416,,0.0,0.2759,0.1667,,0.1016,,0.1048,,0.0,0.125,0.1096,0.9811,0.7517,,0.0,0.2759,0.1667,,0.1039,,0.1092,,0.0,0.1239,0.1057,0.9811,0.7451,,0.0,0.2759,0.1667,,0.1034,,0.1067,,0.0,,block of flats,0.0929,Panel,No,2.0,0.0,2.0,0.0,-1504.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
20,218917,353615,0,Cash loans,M,Y,Y,2,135000.0,1223010.0,48631.5,1125000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011703,-20908,-6901,-7723.0,-4341,28.0,1,1,0,1,1,0,Drivers,4.0,2,2,SATURDAY,12,0,0,0,0,1,1,Other,,0.694351979650052,0.7850520263728172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-226.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
21,41461,148000,0,Cash loans,F,N,Y,2,157500.0,339948.0,23787.0,315000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.020713,-14843,-8094,-2599.0,-4566,,1,1,1,1,1,0,Laborers,4.0,3,3,THURSDAY,7,0,0,0,0,0,0,Postal,0.4223793469537169,0.4055398322252424,0.4400578303966329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,9.0,0.0,-1925.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
22,85413,199106,0,Cash loans,F,N,Y,3,270000.0,965340.0,99045.0,900000.0,Family,Working,Higher education,Married,House / apartment,0.00496,-17011,-1575,-3104.0,-555,,1,1,0,1,0,0,High skill tech staff,5.0,2,2,SATURDAY,11,0,0,0,0,0,0,Self-employed,,0.780860672388709,0.2707073872651806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-523.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
23,248404,387408,0,Cash loans,F,N,Y,0,67500.0,337500.0,20646.0,337500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-17999,-1882,-8613.0,-1529,,1,1,1,1,0,0,Sales staff,2.0,2,2,THURSDAY,11,0,0,0,0,1,1,Self-employed,,0.5831235817930961,0.5919766183185521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1351.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
24,100057,216159,0,Cash loans,F,N,N,0,166500.0,640080.0,31261.5,450000.0,Unaccompanied,Working,Incomplete higher,Civil marriage,With parents,0.018029,-9364,-967,-3475.0,-2035,,1,1,0,1,0,0,,2.0,3,3,MONDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.5262189110589908,0.21640296051521946,0.0598,0.0063,0.9757,0.6668,0.0403,0.0,0.1379,0.1667,0.0417,0.0,0.0479,0.0486,0.0039,0.0052,0.0609,0.0065,0.9757,0.6798,0.0407,0.0,0.1379,0.1667,0.0417,0.0,0.0523,0.0506,0.0039,0.0055,0.0604,0.0063,0.9757,0.6713,0.0406,0.0,0.1379,0.1667,0.0417,0.0,0.0487,0.0494,0.0039,0.0053,reg oper account,block of flats,0.0393,"Stone, brick",No,1.0,0.0,1.0,0.0,-754.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
25,278544,422717,0,Cash loans,F,N,N,0,157500.0,302206.5,14665.5,229500.0,Family,Pensioner,Higher education,Married,House / apartment,0.008473999999999999,-21677,365243,-12136.0,-4910,,1,0,0,1,1,0,,2.0,2,2,MONDAY,13,0,0,0,0,0,0,XNA,,0.6017647684745032,0.38079968264891495,0.0619,0.0433,0.9742,0.6464,0.0053,0.0,0.1034,0.1667,0.2083,0.0144,0.0504,0.0498,0.0,0.0,0.063,0.0449,0.9742,0.6602,0.0054,0.0,0.1034,0.1667,0.2083,0.0147,0.0551,0.0519,0.0,0.0,0.0625,0.0433,0.9742,0.6511,0.0054,0.0,0.1034,0.1667,0.2083,0.0146,0.0513,0.0507,0.0,0.0,reg oper account,block of flats,0.0421,Block,No,0.0,0.0,0.0,0.0,-1696.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
