,index,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
30,3963,235644,5719287,Closed,currency 1,-1047,0,-621.0,-955.0,5295.51,0,139499.955,0.0,0.0,0.0,Consumer credit,-955,
31,3964,235644,5719288,Closed,currency 1,-709,0,-160.0,-189.0,0.0,0,171900.0,0.0,0.0,0.0,Consumer credit,-189,
32,3965,235644,5719289,Active,currency 1,-809,0,1017.0,,0.0,0,879678.0,615878.28,0.0,0.0,Consumer credit,-18,24930.0
33,3966,235644,5719290,Active,currency 1,-968,0,1588.0,,445.5,0,2005200.0,1492156.485,0.0,0.0,Consumer credit,-26,38826.0
34,3967,235644,5719291,Closed,currency 1,-1545,0,282.0,-966.0,0.0,0,900000.0,,,0.0,Consumer credit,-966,
35,3968,235644,5719292,Closed,currency 1,-1875,0,-1144.0,-1204.0,0.0,0,270000.0,0.0,0.0,0.0,Consumer credit,-1204,
36,3969,235644,5719294,Closed,currency 1,-2506,0,-1776.0,-1875.0,8049.375,0,225000.0,0.0,0.0,0.0,Consumer credit,-1875,
37,3970,235644,5719295,Closed,currency 1,-2586,0,-2222.0,-2217.0,0.0,0,180000.0,,,0.0,Consumer credit,-2217,
38,4247,243873,5719606,Closed,currency 1,-2686,0,-2504.0,-2203.0,4594.5,0,28107.0,,,0.0,Consumer credit,-2201,
39,4361,455024,5719735,Active,currency 1,-761,0,1065.0,,,0,1654105.5,1141416.0,0.0,0.0,Car loan,-7,38925.0
40,4547,364738,5719942,Active,currency 1,-265,0,3415.0,,,0,9315000.0,7083715.5,0.0,0.0,Mortgage,-25,68382.0
41,4548,364738,5719943,Closed,currency 1,-1308,0,-212.0,-644.0,,0,1348947.0,0.0,,0.0,Car loan,-644,0.0
42,4549,364738,5719944,Active,currency 1,-656,0,,,,0,697500.0,133209.0,,0.0,Consumer credit,-251,
43,4550,364738,5719945,Active,currency 1,-1314,0,906.0,,,0,236250.0,219820.5,,0.0,Credit card,-10,0.0
44,4627,173237,5720042,Active,currency 1,-186,0,241.0,,,0,25272.0,14738.085,,0.0,Consumer credit,-38,
45,4628,173237,5720043,Active,currency 1,-708,0,906.0,,,0,0.0,0.0,0.0,0.0,Credit card,-52,
46,4629,173237,5720044,Closed,currency 1,-735,0,-490.0,-580.0,,0,28215.0,0.0,,0.0,Consumer credit,-578,
47,4630,173237,5720045,Closed,currency 1,-2366,0,-1271.0,-2217.0,,0,144000.0,0.0,0.0,0.0,Consumer credit,-884,0.0
48,4631,173237,5720046,Closed,currency 1,-2365,0,-2275.0,-2275.0,,0,21645.0,0.0,0.0,0.0,Consumer credit,-1774,0.0
49,4632,173237,5720047,Closed,currency 1,-1531,0,7235.0,-300.0,,0,1912500.0,0.0,0.0,0.0,Mortgage,-238,0.0
50,4633,173237,5720048,Closed,currency 1,-594,0,867.0,-563.0,,0,139500.0,0.0,0.0,0.0,Consumer credit,-307,0.0
51,4634,173237,5720049,Closed,currency 1,-1733,0,-637.0,-1033.0,,0,283500.0,0.0,0.0,0.0,Consumer credit,-307,0.0
52,4635,173237,5720050,Active,currency 1,-56,0,937.0,,,0,67500.0,69300.0,0.0,0.0,Credit card,-45,69300.0
53,4636,173237,5720051,Active,currency 1,-534,0,196.0,,0.0,0,126324.0,38142.0,0.0,0.0,Consumer credit,-18,5263.515
54,4637,173237,5720052,Closed,currency 1,-911,0,-515.0,-565.0,0.0,0,43965.0,0.0,0.0,0.0,Consumer credit,-565,
55,5091,149596,5720572,Closed,currency 1,-1545,0,-1179.0,-1204.0,,0,136345.5,0.0,0.0,0.0,Consumer credit,-1204,0.0
56,5092,149596,5720573,Active,currency 1,-1152,0,674.0,,,0,710527.5,363181.5,0.0,0.0,Consumer credit,-25,9387.0
57,5093,149596,5720575,Closed,currency 1,-1643,0,-1331.0,-1331.0,,0,60264.0,,,0.0,Consumer credit,-1331,
58,5094,149596,5720576,Closed,currency 1,-570,0,-389.0,-448.0,0.0,0,22410.0,0.0,0.0,0.0,Consumer credit,-447,
59,6287,341177,5722029,Active,currency 1,-1024,0,-715.0,,2501.325,0,50850.0,0.0,0.0,0.0,Consumer credit,-91,
60,6288,341177,5722030,Closed,currency 1,-396,0,-155.0,-155.0,0.0,0,54130.5,0.0,0.0,0.0,Consumer credit,-149,
61,7581,261844,5723619,Closed,currency 1,-555,0,-374.0,-371.0,,0,80950.5,0.0,0.0,0.0,Consumer credit,-370,
62,7582,261844,5723620,Closed,currency 1,-784,0,-686.0,-686.0,,0,41247.0,0.0,0.0,0.0,Consumer credit,-558,
63,7583,261844,5723621,Closed,currency 1,-649,0,-468.0,-468.0,,0,21825.0,0.0,0.0,0.0,Consumer credit,-467,
64,7584,261844,5723622,Active,currency 1,-1054,0,42.0,,,0,225000.0,0.0,,0.0,Credit card,-937,
65,7585,261844,5723623,Active,currency 1,-27,0,157.0,,0.0,0,62496.0,62496.0,0.0,0.0,Consumer credit,-25,
66,7683,154188,5723745,Closed,currency 1,-1559,0,-1008.0,-1040.0,0.0,0,292500.0,0.0,0.0,0.0,Consumer credit,-1040,
67,7938,191694,5724068,Closed,currency 1,-1529,0,-1315.0,-1344.0,0.0,0,40557.6,0.0,0.0,0.0,Consumer credit,-1344,
68,7939,191694,5724069,Closed,currency 1,-1865,0,-1712.0,-924.0,,0,71865.0,,,0.0,Consumer credit,-921,
69,7940,191694,5724070,Closed,currency 1,-2160,0,-1979.0,-1979.0,0.0,0,61965.0,0.0,0.0,0.0,Consumer credit,-1979,
70,7941,191694,5724071,Active,currency 1,-19,0,714.0,,0.0,0,301500.0,301500.0,0.0,0.0,Consumer credit,-19,
71,9978,236360,5726609,Active,currency 1,-254,0,30948.0,,,0,45000.0,0.0,45000.0,0.0,Credit card,-26,4500.0
72,9979,236360,5726610,Closed,currency 1,-482,0,1344.0,-400.0,,0,725026.5,0.0,0.0,0.0,Consumer credit,-78,0.0
73,9980,236360,5726611,Closed,currency 1,-894,0,-404.0,-404.0,,0,0.0,0.0,0.0,0.0,Credit card,-404,22500.0
74,9981,236360,5726612,Active,currency 1,-1179,0,967.0,,,0,297000.0,306027.0,0.0,0.0,Credit card,-13,4500.0
75,9982,236360,5726613,Closed,currency 1,-764,0,,-704.0,,0,135000.0,,,0.0,Credit card,-704,4500.0
76,9983,236360,5726614,Closed,currency 1,-837,0,,-704.0,,0,90000.0,,,0.0,Credit card,-704,46737.0
77,9984,236360,5726615,Active,currency 1,-894,0,27297.0,,,0,450000.0,0.0,,0.0,Credit card,-442,14287.5
78,9985,236360,5726616,Closed,currency 1,-526,0,204.0,-397.0,,0,246600.0,,,0.0,Consumer credit,-397,4500.0
79,9986,236360,5726617,Active,currency 1,-526,0,,,,0,180000.0,184932.0,,0.0,Credit card,-4,4500.0
80,9987,236360,5726618,Active,currency 1,-212,0,884.0,,,0,450000.0,405909.0,,0.0,Consumer credit,-18,46737.0
81,9988,236360,5726619,Active,currency 1,-366,0,1490.0,,0.0,0,1150031.79,1034113.815,0.0,0.0,Consumer credit,-10,
82,9989,236360,5726620,Active,currency 1,-482,0,2683.0,,0.0,0,540000.0,540000.0,0.0,0.0,Credit card,-14,4500.0
83,9990,236360,5726621,Active,currency 1,-285,0,27297.0,,0.0,0,90000.0,89912.025,87.975,0.0,Credit card,-13,4500.0
84,9991,236360,5726622,Active,currency 1,-708,0,1118.0,,0.0,0,675000.0,542038.905,0.0,0.0,Consumer credit,-190,31783.5
85,9992,236360,5726623,Active,currency 1,-1060,0,,,0.0,0,675000.0,648477.0,0.0,0.0,Credit card,-9,18450.0
86,10734,166025,6019623,Closed,currency 1,-2534,0,-2320.0,-2349.0,,0,16903.89,0.0,,0.0,Consumer credit,-881,
87,10735,166025,6019625,Closed,currency 1,-888,0,-339.0,-339.0,,0,150979.5,0.0,0.0,0.0,Consumer credit,-337,0.0
88,10736,166025,6019626,Closed,currency 1,-1744,0,-1347.0,-1322.0,,0,73381.5,0.0,0.0,0.0,Consumer credit,-974,0.0
89,10737,166025,6019627,Closed,currency 1,-1743,0,-1347.0,-1347.0,,0,73381.5,0.0,,0.0,Consumer credit,-1341,0.0
90,11306,364955,6020286,Active,currency 1,-150,30,215.0,,,0,88811.1,67355.865,,300.78,Consumer credit,-56,
91,11307,364955,6020288,Closed,currency 1,-2016,0,-1835.0,-1835.0,,0,67500.0,0.0,0.0,0.0,Consumer credit,-1201,13293.0
92,11308,364955,6020289,Closed,currency 1,-874,0,221.0,-669.0,,0,112500.0,0.0,0.0,0.0,Consumer credit,-664,104863.5
93,11309,364955,6020290,Closed,currency 1,-1637,0,-1091.0,-1079.0,,0,128169.0,0.0,0.0,0.0,Consumer credit,-953,0.0
94,11310,364955,6020291,Closed,currency 1,-1095,0,731.0,-669.0,,0,900000.0,0.0,0.0,0.0,Consumer credit,-664,829224.0
95,11311,364955,6020295,Closed,currency 1,-1876,0,-50.0,-1082.0,,0,144000.0,0.0,0.0,0.0,Consumer credit,-280,0.0
96,11312,364955,6020296,Active,currency 1,-1459,0,368.0,,,0,900000.0,265023.0,0.0,0.0,Consumer credit,-26,22419.0
97,11313,364955,6020298,Closed,currency 1,-1636,0,-1091.0,-1091.0,,0,128173.5,0.0,,0.0,Consumer credit,-1090,0.0
98,11314,364955,6020299,Active,currency 1,-154,0,1672.0,,,0,135000.0,129424.5,,0.0,Consumer credit,-18,
99,11315,364955,6020300,Active,currency 1,-273,0,1569.0,,,0,180000.0,149733.0,,0.0,Credit card,-23,9837.0
100,11316,364955,6020301,Active,currency 1,-615,0,1211.0,,,0,720000.0,604548.0,,0.0,Consumer credit,-18,
101,11317,364955,6020302,Active,currency 1,-669,0,,,0.0,0,450000.0,0.0,0.0,0.0,Credit card,-19,45000.0
102,11318,364955,6020303,Active,currency 1,-524,0,,,0.0,0,184500.0,0.0,0.0,0.0,Credit card,-19,18450.0
103,11319,364955,6020304,Closed,currency 1,-714,0,,-226.0,0.0,0,72495.0,0.0,0.0,0.0,Credit card,-222,
104,11320,364955,6020305,Closed,currency 1,-957,0,-654.0,-654.0,0.0,0,50331.465,0.0,0.0,0.0,Consumer credit,-649,
105,11321,364955,6020306,Active,currency 1,-2230,0,,,0.0,0,13500.0,0.0,13500.0,0.0,Credit card,-1048,1350.0
106,11322,364955,6020307,Closed,currency 1,-2330,0,-2146.0,-2146.0,0.0,0,34887.96,0.0,0.0,0.0,Consumer credit,-957,
107,11421,333589,6020413,Closed,currency 1,-2649,0,-2528.0,-2557.0,,0,18000.0,0.0,,0.0,Consumer credit,-899,
108,11422,333589,6020414,Closed,currency 1,-2340,0,-2005.0,-2095.0,,0,97414.2,0.0,,0.0,Consumer credit,-899,
109,11423,333589,6020415,Closed,currency 1,-1873,0,-1508.0,-1584.0,,0,148842.0,,,0.0,Consumer credit,-1584,0.0
110,11424,333589,6020416,Closed,currency 1,-1998,0,-902.0,-1584.0,,0,501673.5,,,0.0,Consumer credit,-1584,0.0
111,11425,333589,6020417,Closed,currency 1,-1863,0,-1498.0,-1499.0,,0,108000.0,,,0.0,Consumer credit,-1497,0.0
112,11426,333589,6020418,Closed,currency 1,-1584,0,242.0,-1355.0,,0,1682694.0,,,0.0,Consumer credit,-1355,0.0
113,11427,333589,6020419,Closed,currency 1,-1966,0,-505.0,-1415.0,,0,712395.0,0.0,,0.0,Consumer credit,-1413,22639.5
114,11428,333589,6020420,Closed,currency 1,-2191,0,-365.0,-2100.0,,0,343215.0,0.0,,0.0,Consumer credit,-2098,9603.0
115,11429,333589,6020421,Closed,currency 1,-2071,0,-975.0,-1964.0,,0,485460.0,0.0,,0.0,Consumer credit,-1962,18666.0
116,11430,333589,6020422,Closed,currency 1,-2335,0,-1970.0,-2100.0,,0,145395.0,0.0,,0.0,Consumer credit,-2098,13806.0
117,11431,333589,6020423,Closed,currency 1,-2705,0,-2157.0,-2188.0,,0,293490.0,0.0,,0.0,Consumer credit,-2186,19579.5
118,11432,333589,6020424,Closed,currency 1,-2064,0,-968.0,-999.0,,0,270000.0,,,0.0,Consumer credit,-992,0.0
119,11433,333589,6020425,Closed,currency 1,-1415,0,2238.0,-903.0,,0,784642.5,766912.5,,0.0,Consumer credit,-903,0.0
120,11434,333589,6020426,Closed,currency 1,-1280,0,-348.0,-348.0,,0,225000.0,0.0,,0.0,Credit card,-347,0.0
121,11435,333589,6020427,Closed,currency 1,-450,0,,-280.0,,0,450000.0,,,0.0,Credit card,-279,0.0
122,11436,333589,6020428,Closed,currency 1,-321,0,-168.0,-168.0,,0,225000.0,0.0,,0.0,Consumer credit,-168,0.0
123,11437,333589,6020429,Active,currency 1,-116,0,2.0,,,0,36000.0,39240.0,,0.0,Microloan,-26,39240.0
124,11438,333589,6020430,Active,currency 1,-905,0,921.0,,,0,1350000.0,918463.5,,0.0,Consumer credit,-20,41620.5
125,11439,333589,6020431,Active,currency 1,-1355,0,472.0,,,0,2035539.0,,,0.0,Consumer credit,-16,56160.0
126,11440,333589,6020432,Closed,currency 1,-630,0,-321.0,-321.0,0.0,0,159386.085,0.0,0.0,0.0,Consumer credit,-321,
127,11441,333589,6020433,Closed,currency 1,-780,0,-658.0,-658.0,0.0,0,24030.0,0.0,0.0,0.0,Consumer credit,-653,
128,11442,333589,6020434,Active,currency 1,-767,0,10184.0,,0.0,0,9675.0,,,0.0,Credit card,-21,36.0
129,11443,333589,6020436,Closed,currency 1,-1427,0,-1243.0,-1243.0,0.0,0,60779.79,0.0,0.0,0.0,Consumer credit,-1243,
130,11444,333589,6020437,Closed,currency 1,-1876,0,-780.0,-900.0,1480.5,0,562500.0,,,0.0,Consumer credit,-900,
131,11601,359198,6020618,Closed,currency 1,-762,0,-63.0,-90.0,,0,228915.0,0.0,,0.0,Consumer credit,-88,
132,11602,359198,6020619,Active,currency 1,-1123,0,596.0,,,0,0.0,0.0,0.0,0.0,Credit card,-57,
133,11603,359198,6020620,Closed,currency 1,-831,0,-711.0,-714.0,,0,20601.0,0.0,,0.0,Consumer credit,-711,0.0
134,11735,125519,6020772,Closed,currency 1,-867,0,-532.0,-563.0,,0,118458.45,0.0,,0.0,Consumer credit,-561,
135,11736,125519,6020773,Closed,currency 1,-807,0,-595.0,-624.0,,0,73059.84,0.0,,0.0,Consumer credit,-614,
136,11737,125519,6020774,Closed,currency 1,-574,0,-392.0,-392.0,,0,67347.0,0.0,,0.0,Consumer credit,-306,
137,11738,125519,6020775,Active,currency 1,-2836,0,-1009.0,,,0,27000.0,,,0.0,Credit card,-2366,0.0
138,11739,125519,6020776,Active,currency 1,-180,0,124.0,,0.0,0,62955.0,34330.5,0.0,0.0,Consumer credit,-29,6295.5
139,12165,375925,6021264,Closed,currency 1,-472,0,-289.0,-318.0,0.0,0,68411.565,0.0,0.0,0.0,Consumer credit,-129,
140,12166,375925,6021265,Closed,currency 1,-423,0,-119.0,-119.0,0.0,0,73053.0,0.0,0.0,0.0,Consumer credit,-119,
141,12167,375925,6021266,Active,currency 1,-444,0,1393.0,,0.0,0,2354321.745,1956650.265,0.0,0.0,Car loan,-8,56313.0
142,12168,375925,6021267,Closed,currency 1,-2239,0,,-2008.0,0.0,0,168750.0,0.0,168750.0,0.0,Credit card,-2008,
143,12169,375925,6021268,Active,currency 1,-918,0,2734.0,,181359.0,0,12825000.0,,,0.0,Mortgage,-13,181359.0
144,12170,375925,6021269,Closed,currency 1,-2361,0,-1995.0,-1995.0,0.0,0,88884.0,0.0,0.0,0.0,Consumer credit,-1993,
145,12171,375925,6021270,Closed,currency 1,-2556,0,-2373.0,-2372.0,0.0,0,51831.0,,,0.0,Consumer credit,-2371,
146,14578,242192,6024037,Closed,currency 1,-532,0,-106.0,-135.0,,0,579600.0,0.0,,0.0,Consumer credit,-133,
147,14579,242192,6024038,Active,currency 1,-405,0,-40.0,,,0,254700.0,46905.885,,0.0,Consumer credit,-86,
148,14580,242192,6024039,Closed,currency 1,-1945,0,-1763.0,-1763.0,,0,92731.5,0.0,0.0,0.0,Consumer credit,-1674,78336.0
149,14581,242192,6024040,Closed,currency 1,-405,0,-40.0,-40.0,,0,254700.0,0.0,0.0,0.0,Consumer credit,-32,
150,14582,242192,6024041,Active,currency 1,-1157,0,1008.0,,,0,432000.0,426897.0,0.0,0.0,Credit card,-57,
151,14583,242192,6024044,Closed,currency 1,-405,0,-38.0,-38.0,0.0,0,180000.0,0.0,0.0,0.0,Consumer credit,-38,4500.0
152,14584,242192,6024045,Active,currency 1,-268,0,27338.0,,0.0,0,90000.0,32769.855,57230.145,0.0,Credit card,-35,0.0
153,14861,423515,6024354,Active,currency 1,-377,0,5109.0,,,0,4252500.0,4152960.0,0.0,0.0,Mortgage,-28,0.0
154,15118,395225,6024657,Closed,currency 1,-2867,0,-2501.0,-2508.0,,0,315000.0,0.0,0.0,0.0,Consumer credit,-800,0.0
155,15119,395225,6024658,Closed,currency 1,-1075,0,-710.0,-710.0,,0,180000.0,0.0,0.0,0.0,Consumer credit,-674,16618.5
156,15120,395225,6024659,Closed,currency 1,-1564,0,-1199.0,-1197.0,,0,138150.0,0.0,0.0,0.0,Consumer credit,-800,9319.5
157,15298,364357,6024862,Closed,currency 1,-29,0,-13.0,-21.0,,0,13500.0,0.0,0.0,0.0,Consumer credit,-17,0.0
158,15299,364357,6024863,Active,currency 1,-19,0,-3.0,,,0,22500.0,29700.0,0.0,0.0,Consumer credit,-2,0.0
159,15788,238053,6025430,Closed,currency 1,-2275,0,12653.0,-1712.0,,0,4500.0,0.0,0.0,0.0,Credit card,-1685,0.0
160,15789,238053,6025431,Active,currency 1,-64,0,719.0,,,0,112500.0,0.0,0.0,0.0,Credit card,-26,0.0
161,15790,238053,6025432,Closed,currency 1,-914,0,354.0,-322.0,,0,0.0,0.0,0.0,0.0,Credit card,-213,
162,15791,238053,6025433,Closed,currency 1,-1617,0,12653.0,-930.0,,0,315000.0,0.0,0.0,0.0,Credit card,-923,0.0
163,15792,238053,6025434,Active,currency 1,-354,0,1472.0,,,0,117000.0,71617.5,0.0,0.0,Consumer credit,-49,5877.0
164,15793,238053,6025435,Active,currency 1,-1638,0,12653.0,,,0,315000.0,0.0,,0.0,Credit card,-950,0.0
165,15794,238053,6025436,Active,currency 1,-216,0,90.0,,0.0,0,56866.5,26320.5,0.0,0.0,Consumer credit,-33,5169.69
166,15926,263184,6025590,Active,currency 1,-215,0,881.0,,,0,437805.0,383472.0,0.0,0.0,Consumer credit,-29,16834.5
167,15927,263184,6025591,Active,currency 1,-300,0,1526.0,,,0,1087915.5,991575.0,0.0,0.0,Consumer credit,-24,30361.5
168,15935,344716,6025599,Active,currency 1,-766,0,964.0,,,0,0.0,0.0,0.0,0.0,Credit card,-11,
169,15936,344716,6025600,Active,currency 1,-158,0,573.0,,,0,270000.0,242260.155,,0.0,Consumer credit,-31,
170,15937,344716,6025601,Active,currency 1,-766,0,964.0,,,0,0.0,0.0,0.0,0.0,Credit card,-11,
171,15938,344716,6025602,Active,currency 1,-774,0,1054.0,,,0,0.0,0.0,0.0,0.0,Credit card,-26,
172,15939,344716,6025603,Active,currency 1,-613,0,780.0,,,0,112500.0,85.5,0.0,0.0,Credit card,-141,
173,15940,344716,6025604,Active,currency 1,-180,0,1646.0,,,0,90000.0,85554.0,0.0,0.0,Consumer credit,-28,2461.5
174,15941,344716,6025605,Active,currency 1,-407,0,1419.0,,,0,288000.0,252067.5,0.0,0.0,Consumer credit,-8,8514.0
175,15942,344716,6025606,Active,currency 1,-573,0,,,0.0,0,168750.0,162391.5,6355.755,0.0,Credit card,-19,16875.0
176,15943,344716,6025607,Closed,currency 1,-739,0,-168.0,-168.0,0.0,0,145741.23,0.0,0.0,0.0,Consumer credit,-163,
177,16146,300175,6025846,Active,currency 1,-221,0,1605.0,,8199.0,0,450000.0,,,0.0,Consumer credit,-32,11425.5
178,16147,300175,6025847,Active,currency 1,-355,0,10.0,,19089.0,0,675000.0,,,0.0,Consumer credit,-7,29583.0
179,16148,300175,6025848,Closed,currency 1,-1012,0,-827.0,-824.0,0.0,0,225000.0,,,0.0,Consumer credit,-824,
180,16149,300175,6025849,Active,currency 1,-1083,0,9876.0,,0.0,0,225000.0,,,0.0,Credit card,-22,11029.5
181,16150,300175,6025850,Closed,currency 1,-1209,0,-662.0,-516.0,0.0,0,270000.0,,,0.0,Consumer credit,-516,
182,16151,300175,6025851,Closed,currency 1,-1466,0,-370.0,-365.0,0.0,0,1012500.0,,,0.0,Consumer credit,-365,
183,16152,300175,6025852,Closed,currency 1,-1651,0,-929.0,-1461.0,832.5,0,0.0,,,0.0,Credit card,-1461,
184,16153,300175,6025853,Active,currency 1,-1656,0,9302.0,,9868.5,0,45000.0,,,0.0,Credit card,-22,2164.5
185,16612,217106,5190073,Closed,currency 1,-645,0,-379.0,-376.0,,0,225000.0,0.0,0.0,0.0,Credit card,-371,0.0
186,16613,217106,5190074,Closed,currency 1,-1444,0,17.0,-841.0,,0,1666350.0,0.0,0.0,0.0,Consumer credit,-840,
187,16614,217106,5190075,Closed,currency 1,-1866,0,-40.0,-577.0,,0,540000.0,0.0,0.0,0.0,Consumer credit,-574,
188,16615,217106,5190076,Closed,currency 1,-1652,0,-1287.0,-1444.0,,0,237645.0,0.0,,0.0,Consumer credit,-1442,0.0
189,16616,217106,5190077,Closed,currency 1,-2053,0,-1504.0,-1534.0,,0,249480.0,0.0,,0.0,Consumer credit,-1532,
190,16617,217106,5190078,Closed,currency 1,-2492,0,-2126.0,-2112.0,,0,122310.0,0.0,,0.0,Consumer credit,-2110,
191,16618,217106,5190079,Closed,currency 1,-1343,0,-247.0,-854.0,,0,471960.0,378918.0,,0.0,Consumer credit,-689,
192,16619,217106,5190080,Closed,currency 1,-1500,0,-404.0,-571.0,,0,831217.5,562482.0,,0.0,Consumer credit,-571,0.0
193,16620,217106,5190081,Closed,currency 1,-847,0,248.0,-442.0,,0,900004.5,,,0.0,Consumer credit,-442,0.0
194,16621,217106,5190082,Closed,currency 1,-314,0,51.0,-211.0,,0,146583.0,,,0.0,Consumer credit,-211,
195,16622,217106,5190083,Active,currency 1,-314,0,,,,0,90000.0,,,0.0,Credit card,-14,0.0
196,16623,217106,5190084,Active,currency 1,-842,0,984.0,,60615.0,0,2250000.0,1514983.5,,0.0,Consumer credit,-8,0.0
197,16624,217106,5190085,Active,currency 1,-575,0,1251.0,,35770.5,0,1350000.0,1086700.5,,0.0,Consumer credit,-8,
198,18938,151602,5192982,Closed,currency 1,-2834,0,-2622.0,-2647.0,13483.215,0,37659.51,0.0,0.0,0.0,Consumer credit,-2388,
199,18939,151602,5192983,Closed,currency 1,-2756,0,-2360.0,-2357.0,78316.47,0,161551.26,0.0,0.0,0.0,Car loan,-2357,
200,18940,151602,5192985,Active,currency 1,-38,0,1788.0,,0.0,0,2736000.0,2708120.97,0.0,0.0,Consumer credit,-8,
