,index,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
79,11846,1207475,136378,-94,10.0,7.0,Active,0,0
80,12194,1945508,363136,-12,24.0,22.0,Active,0,0
81,12324,1912663,241277,-57,8.0,8.0,Active,0,0
82,12511,2789006,378555,-23,36.0,35.0,Active,0,0
83,12684,2413482,330964,-7,48.0,38.0,Active,0,0
84,12976,2075193,410707,-10,12.0,8.0,Active,0,0
85,13366,1255821,374341,-11,30.0,11.0,Active,0,0
86,13880,2262375,111312,-17,36.0,34.0,Active,0,0
87,14016,1372348,354257,-18,18.0,17.0,Active,0,0
88,14134,1310690,265216,-82,10.0,1.0,Active,0,0
89,14762,2644880,429644,-16,30.0,25.0,Active,0,0
90,14910,1678743,262562,-6,60.0,60.0,Active,0,0
91,14922,1531263,365481,-4,48.0,47.0,Active,0,0
92,15094,1549556,261350,-87,4.0,1.0,Active,0,0
93,15203,1127021,207288,-20,36.0,28.0,Active,0,0
94,15258,1132111,381879,-12,36.0,15.0,Active,0,0
95,15409,1460974,400127,-26,30.0,28.0,Active,0,0
96,15539,2314144,249496,-25,12.0,5.0,Active,1,1
97,15574,2016906,268467,-22,24.0,24.0,Active,0,0
98,15609,1731847,234586,-23,48.0,48.0,Active,0,0
99,15742,1321112,294373,-25,12.0,2.0,Active,0,0
100,15772,1435166,104874,-4,36.0,7.0,Active,0,0
101,15921,2482246,252840,-12,12.0,7.0,Active,0,0
102,16285,1077953,166979,-3,24.0,12.0,Active,0,0
103,16563,2403430,162186,-66,9.0,3.0,Active,0,0
104,16771,2805145,326790,-16,36.0,9.0,Active,0,0
105,16820,1435166,104874,-17,36.0,20.0,Active,0,0
106,17133,1638849,419705,-19,30.0,11.0,Active,0,0
107,17144,1078182,315935,-13,12.0,10.0,Active,0,0
108,17219,1079511,251984,-38,20.0,14.0,Active,0,0
109,17342,2658271,305987,-15,30.0,10.0,Active,0,0
110,18250,1092611,404984,-3,12.0,7.0,Active,0,0
111,18409,2254762,174920,-12,36.0,35.0,Active,0,0
112,18427,1731847,234586,-4,48.0,28.0,Active,0,0
113,18629,1412057,450713,-69,10.0,2.0,Active,0,0
114,18674,1132111,381879,-6,26.0,0.0,Completed,0,0
115,19508,1941522,132664,-18,42.0,35.0,Active,0,0
116,19690,1951522,259005,-7,30.0,20.0,Active,0,0
117,19734,2605538,453757,-10,36.0,36.0,Active,0,0
118,19761,1772563,274495,-13,4.0,0.0,Completed,0,0
119,19871,1100982,361523,-7,36.0,6.0,Active,0,0
120,20189,1052084,276487,-12,60.0,55.0,Active,0,0
121,20389,2342438,433269,-17,48.0,46.0,Active,0,0
122,20655,1302237,262562,-6,42.0,15.0,Active,0,0
123,21252,1420475,119034,-16,24.0,23.0,Active,0,0
124,21368,2274544,388368,-2,24.0,1.0,Active,0,0
125,21798,2462571,104874,-17,12.0,7.0,Active,0,0
126,21912,1760000,273023,-11,60.0,45.0,Active,0,0
127,21953,1087291,366001,-18,6.0,5.0,Active,0,0
128,21959,1557646,204536,-18,12.0,10.0,Active,0,0
129,22208,2464441,157620,-18,24.0,17.0,Active,0,0
130,22301,2468869,203996,-35,6.0,2.0,Active,0,0
131,22336,2102670,112552,-11,18.0,3.0,Active,0,0
132,22356,1381001,451008,-8,48.0,45.0,Active,0,0
133,22648,2663273,305991,-12,18.0,9.0,Active,0,0
134,23078,2102670,112552,-17,18.0,9.0,Active,0,0
135,23292,1500337,136738,-94,7.0,4.0,Active,0,0
136,23325,1446488,296696,-95,6.0,3.0,Active,0,0
137,23359,1614286,384154,-17,24.0,13.0,Active,0,0
138,23641,1076994,263518,-41,12.0,12.0,Active,0,0
139,23643,1520700,159422,-32,6.0,4.0,Active,0,0
140,23679,2663273,305991,-4,18.0,1.0,Active,0,0
141,23680,1925696,280435,-3,36.0,35.0,Active,0,0
142,23712,2464441,157620,-4,21.0,0.0,Completed,0,0
143,23723,1592160,431356,-2,12.0,4.0,Active,0,0
144,23731,1715537,441565,-3,24.0,7.0,Active,0,0
145,23958,2411857,427788,-74,10.0,4.0,Active,0,0
146,24312,1334270,152749,-10,18.0,3.0,Active,0,0
147,24431,1667086,142676,-25,12.0,7.0,Active,0,0
148,24657,1428938,184826,-9,36.0,31.0,Active,0,0
149,24816,2322781,168520,-18,24.0,20.0,Active,0,0
150,25075,2492751,214188,-17,60.0,55.0,Active,0,0
151,25294,2261689,318900,-20,24.0,6.0,Active,0,0
152,25297,2414391,181971,-25,30.0,27.0,Active,0,0
153,25325,1262623,412801,-96,5.0,2.0,Active,0,0
154,25525,1205147,224379,-3,60.0,52.0,Active,0,0
155,25569,2159394,378398,-4,6.0,0.0,Completed,0,0
156,25606,1776604,349186,-2,12.0,6.0,Active,0,0
157,25636,2675973,269850,-11,18.0,4.0,Active,0,0
158,25778,2674475,123456,-41,16.0,13.0,Active,0,0
159,25813,1311468,204195,-42,10.0,10.0,Active,0,0
160,25832,2762584,431356,-16,6.0,6.0,Active,0,0
161,25848,2437722,288579,-17,24.0,17.0,Active,0,0
162,25968,2106721,151900,-18,36.0,36.0,Active,0,0
163,26102,2770376,442110,-16,30.0,20.0,Active,0,0
164,26123,2414391,181971,-17,30.0,19.0,Active,0,0
165,26182,1327056,196885,-8,6.0,3.0,Active,0,0
166,26214,1336819,164777,-18,24.0,16.0,Active,0,0
167,26278,1714897,246131,-17,6.0,2.0,Active,0,0
168,26623,2174511,333589,-3,30.0,2.0,Active,0,0
169,26676,1109838,360472,-17,24.0,23.0,Active,0,0
170,26752,1337859,435228,-5,60.0,56.0,Active,0,0
171,26980,1065426,159099,-18,12.0,7.0,Active,0,0
172,27101,2575557,200987,-18,60.0,60.0,Active,0,0
173,27119,1116941,110141,-93,4.0,1.0,Active,0,0
174,27128,1058246,122086,-95,1.0,0.0,Active,0,0
175,27751,2447609,109021,-95,12.0,12.0,Active,0,0
176,27775,1999757,415999,-16,12.0,2.0,Active,0,0
177,27991,2566863,402441,-14,12.0,5.0,Active,0,0
178,28053,2001455,223585,-82,8.0,5.0,Active,0,0
179,28079,1597510,418549,-82,11.0,4.0,Active,0,0
180,28294,1843201,109447,-41,24.0,14.0,Active,0,0
181,28451,1337388,129750,-9,24.0,19.0,Active,0,0
182,28458,1485862,184988,-18,48.0,36.0,Active,0,0
183,28512,1108278,348430,-6,1.0,0.0,Completed,0,0
184,28621,2353605,397606,-58,4.0,1.0,Active,0,0
185,28622,2269808,435533,-66,8.0,7.0,Active,0,0
186,28647,2002445,130042,-56,12.0,11.0,Active,0,0
187,28715,2088743,112878,-9,24.0,16.0,Active,0,0
188,28753,1374239,358428,-9,12.0,11.0,Active,0,0
189,28854,1735931,333802,-48,8.0,0.0,Completed,0,0
190,28939,1418414,313157,-17,24.0,21.0,Active,0,0
191,29023,1612929,129329,-5,25.0,7.0,Active,0,0
192,29055,2386297,269704,-6,24.0,0.0,Completed,0,0
193,29147,2458110,149504,-74,10.0,6.0,Active,0,0
194,29406,1078862,180429,-18,10.0,8.0,Active,0,0
195,29571,2281013,329823,-18,36.0,32.0,Active,0,0
196,29817,1642622,130451,-18,6.0,1.0,Active,0,0
197,29856,1639545,235061,-47,16.0,6.0,Active,0,0
198,29926,1378026,449196,-6,35.0,4.0,Active,0,0
199,30066,2082382,453145,-17,6.0,1.0,Active,0,0
200,30269,1530911,344438,-12,30.0,30.0,Active,0,0
201,30404,2804878,132253,-18,24.0,5.0,Active,0,0
202,30480,2055980,175406,-9,24.0,17.0,Active,0,0
203,30706,1205245,305410,-11,4.0,1.0,Active,0,0
204,30860,2476109,171994,-18,24.0,24.0,Active,0,0
205,31052,1824395,166573,-6,36.0,17.0,Active,0,0
206,31068,2386297,269704,-19,54.0,43.0,Active,0,0
207,31150,1315259,430338,-42,10.0,1.0,Active,0,0
208,31199,2660602,289321,-19,1.0,0.0,Completed,0,0
209,31236,2317696,408347,-19,54.0,42.0,Active,0,0
210,31473,1735645,384544,-17,24.0,23.0,Active,0,0
211,31495,1051282,308082,-16,6.0,3.0,Active,0,0
212,31512,2418621,316718,-17,10.0,9.0,Active,0,0
213,31829,2687437,151678,-17,12.0,8.0,Active,0,0
214,31953,1815447,420513,-12,10.0,8.0,Active,0,0
215,32309,2329007,364352,-20,23.0,11.0,Active,0,0
216,32313,1485862,184988,-25,48.0,43.0,Active,0,0
217,32423,1836888,320642,-12,12.0,11.0,Active,0,0
218,32691,1775589,372693,-17,10.0,5.0,Active,0,0
219,32717,1382730,247415,-8,10.0,9.0,Active,0,0
220,32815,1618395,206145,-5,12.0,5.0,Active,0,0
221,32816,2843375,126274,-5,18.0,8.0,Active,0,0
222,33018,1612929,129329,-18,25.0,20.0,Active,0,0
223,33540,2056185,300212,-19,24.0,12.0,Active,0,0
224,33575,2055980,175406,-16,24.0,24.0,Active,0,0
225,33758,1156819,308327,-14,12.0,7.0,Active,0,0
226,33866,2273320,112191,-58,12.0,7.0,Active,0,0
227,34017,1963722,155986,-46,12.0,3.0,Active,0,0
228,34269,1030996,432252,-22,10.0,6.0,Active,0,0
229,34367,2660979,355045,-46,10.0,1.0,Active,0,0
230,34491,2532046,145281,-7,60.0,33.0,Active,0,0
231,34710,2179523,382114,-18,24.0,24.0,Active,0,0
232,34797,2495729,103520,-17,24.0,21.0,Active,0,0
233,35079,2341044,334279,-1,36.0,1.0,Active,0,0
234,35136,2113556,296696,-12,36.0,22.0,Active,0,0
235,35902,1369118,204066,-9,18.0,5.0,Active,0,0
236,35952,2506350,267019,-39,12.0,5.0,Active,0,0
237,36343,1319526,183425,-19,30.0,13.0,Active,4,4
238,36430,1319526,183425,-13,30.0,7.0,Active,0,0
239,36584,2696247,154772,-13,12.0,10.0,Active,0,0
240,37082,1614286,384154,-12,24.0,8.0,Active,0,0
241,37301,2680358,345858,-6,24.0,4.0,Active,0,0
242,37543,1728674,283432,-11,7.0,0.0,Completed,0,0
243,37560,1758965,258948,-19,24.0,20.0,Active,0,0
244,37578,1423196,176938,-13,18.0,6.0,Active,0,0
245,37911,2662956,348729,-9,18.0,15.0,Active,0,0
246,37932,2395363,255405,-18,12.0,6.0,Active,0,0
247,38127,1736953,218320,-19,18.0,17.0,Active,0,0
248,38415,1718419,145129,-14,12.0,10.0,Active,0,0
249,38451,1835351,358113,-13,10.0,7.0,Active,0,0
250,38467,2673719,163032,-25,12.0,2.0,Active,0,0
251,38481,2766009,179660,-26,18.0,13.0,Active,0,0
252,38758,1740788,214188,-25,18.0,13.0,Active,0,0
253,38795,2702882,242192,-9,12.0,0.0,Active,0,0
254,38866,1959664,189207,-26,12.0,7.0,Active,0,0
255,39098,1362137,232683,-16,24.0,22.0,Active,0,0
256,39109,1162580,319090,-25,24.0,23.0,Active,0,0
257,39229,1100639,373549,-12,12.0,4.0,Active,0,0
258,39303,1016758,384656,-47,8.0,0.0,Completed,0,0
259,39795,1574693,146004,-24,30.0,12.0,Active,0,0
260,39803,1575416,176938,-26,12.0,2.0,Active,0,0
261,39864,2527575,114041,-19,12.0,10.0,Active,0,0
262,39917,1220058,286183,-10,12.0,6.0,Active,0,0
263,40845,2274544,388368,-11,24.0,10.0,Active,0,0
264,40901,1545511,432607,-7,24.0,1.0,Active,0,0
265,41186,1545511,432607,-26,24.0,20.0,Active,0,0
266,41345,1389823,440637,-4,12.0,0.0,Active,0,0
267,41666,1879769,430030,-11,30.0,29.0,Active,0,0
268,41914,1417562,162424,-17,1.0,0.0,Completed,0,0
269,42237,2574768,269704,-48,5.0,0.0,Completed,0,0
270,42305,1107643,187948,-59,6.0,6.0,Active,0,0
271,42622,1389499,336098,-9,36.0,20.0,Active,0,0
272,42907,2393114,334522,-6,48.0,8.0,Active,0,0
273,43486,2829716,300212,-19,25.0,12.0,Active,0,0
274,43519,1690760,134666,-20,12.0,8.0,Active,0,0
275,43589,2343575,125972,-65,12.0,7.0,Active,0,0
276,43823,1494038,380906,-58,16.0,12.0,Active,0,0
277,44008,2626940,118531,-6,12.0,10.0,Active,0,0
278,44067,2117994,107565,-8,12.0,10.0,Active,0,0
279,44399,2180918,309790,-48,6.0,0.0,Active,0,0
280,44592,2069780,310378,-18,24.0,21.0,Active,0,0
281,44647,2557531,300954,-5,6.0,2.0,Active,0,0
282,44760,1652123,259897,-26,36.0,22.0,Active,0,0
283,44867,1718122,223067,-96,6.0,2.0,Active,0,0
284,45068,1869859,133570,-47,12.0,5.0,Active,0,0
285,45391,2218119,368174,-38,16.0,1.0,Active,0,0
286,45488,2583534,438187,-5,12.0,6.0,Active,0,0
287,45588,1212364,193950,-38,12.0,2.0,Active,0,0
288,45857,2770578,316697,-6,12.0,8.0,Active,0,0
289,45978,2011194,374994,-17,12.0,12.0,Active,0,0
290,45993,1464609,438773,-16,12.0,9.0,Active,0,0
291,46090,2599985,383300,-41,12.0,4.0,Active,0,0
292,46520,1364112,215053,-11,12.0,10.0,Active,0,0
293,46856,2369731,203807,-25,24.0,18.0,Active,0,0
294,46857,1393001,311801,-26,36.0,23.0,Active,0,0
295,47113,2829716,300212,-12,25.0,5.0,Active,0,0
296,47211,2329489,303354,-65,6.0,6.0,Active,0,0
297,47238,2068860,355045,-64,12.0,12.0,Active,0,0
298,47249,1531051,427667,-66,12.0,11.0,Active,0,0
299,47451,1516187,409550,-66,6.0,3.0,Active,0,0
300,47466,1296190,152050,-16,3.0,0.0,Active,0,0
301,47706,1653191,424539,-58,5.0,1.0,Active,0,0
302,47780,1152093,117487,-79,5.0,1.0,Active,0,0
303,47788,2644807,296477,-5,12.0,8.0,Active,0,0
304,47797,2087233,126549,-14,12.0,6.0,Active,0,0
305,47882,1217239,262620,-6,12.0,10.0,Active,0,0
306,47884,2835962,251248,-5,12.0,10.0,Active,10,0
307,47918,2260819,157892,-5,12.0,12.0,Active,0,0
308,48018,1460835,220614,-47,24.0,7.0,Active,0,0
309,48322,1711094,295235,-51,36.0,35.0,Active,0,0
310,48567,1136594,199878,-55,6.0,4.0,Active,0,0
311,48588,1100998,247537,-55,24.0,3.0,Active,0,0
312,49006,1389038,313655,-6,12.0,10.0,Active,0,0
313,49041,1509292,450878,-6,12.0,11.0,Active,0,0
314,49246,1968571,409798,-42,24.0,1.0,Active,0,0
315,49280,1183270,255569,-40,36.0,34.0,Active,0,0
316,49545,2575722,196486,-47,24.0,12.0,Active,0,0
317,49805,2305614,363136,-43,11.0,0.0,Completed,0,0
318,50112,2773834,156577,-31,18.0,10.0,Active,0,0
319,50195,2035324,378107,-48,36.0,29.0,Active,0,0
320,50209,2558682,267649,-47,12.0,2.0,Active,0,0
321,50353,2479883,439956,-41,24.0,20.0,Active,0,0
322,50448,1257806,417808,-1,24.0,19.0,Active,0,0
323,50573,1234089,151481,-40,24.0,19.0,Active,0,0
324,50828,2189067,364416,-40,12.0,0.0,Completed,0,0
325,50844,1873049,446660,-35,15.0,0.0,Completed,0,0
326,50873,2258130,156590,-47,12.0,5.0,Active,0,0
327,50948,2778799,118070,-17,6.0,0.0,Active,0,0
328,51036,2428780,139342,-45,18.0,1.0,Active,0,0
329,51106,1326493,232279,-41,18.0,9.0,Active,0,0
330,51414,2842483,259198,-42,14.0,6.0,Active,0,0
331,51510,1691718,272566,-41,24.0,18.0,Active,0,0
332,51514,1136106,399738,-31,6.0,5.0,Active,0,0
333,51659,1225906,237154,-14,10.0,3.0,Active,0,0
334,52394,1648182,235571,-46,18.0,7.0,Active,1,1
335,53090,2414623,383622,-6,12.0,12.0,Active,0,0
336,53231,2233738,447142,-16,11.0,5.0,Active,0,0
337,53324,1684011,447855,-15,9.0,0.0,Completed,0,0
338,53383,2801816,196085,-34,24.0,12.0,Active,0,0
339,53512,2817858,246304,-48,18.0,8.0,Active,0,0
340,53536,2525268,197465,-40,18.0,6.0,Active,0,0
341,53747,1963722,155986,-45,12.0,2.0,Active,0,0
342,53943,1024265,172420,-40,12.0,11.0,Active,0,0
343,54234,2141575,438572,-4,12.0,10.0,Active,0,0
344,54735,1785442,449344,-31,12.0,0.0,Active,0,0
345,55040,1193606,169535,-6,18.0,17.0,Active,0,0
346,55426,1205147,224379,-11,60.0,60.0,Active,0,0
347,55439,1109838,360472,-11,24.0,17.0,Active,0,0
348,55841,1261309,450682,-6,18.0,7.0,Active,0,0
349,55891,1830164,156577,-8,36.0,26.0,Active,0,0
350,56052,1820585,440775,-8,6.0,2.0,Active,0,0
351,56224,1205836,189007,-86,12.0,7.0,Active,0,0
352,56290,2486965,334555,-18,36.0,21.0,Active,0,0
353,56530,1799823,313509,-8,36.0,22.0,Active,0,0
354,56670,2796937,186979,-11,12.0,8.0,Active,0,0
355,56969,1946574,424359,-96,12.0,10.0,Active,0,0
356,57019,2006221,159690,-4,12.0,3.0,Active,0,0
357,57393,2627202,374341,-11,60.0,48.0,Active,0,0
358,57508,1890144,199878,-18,24.0,18.0,Active,0,0
359,57572,1012063,156590,-4,42.0,27.0,Active,0,0
360,57676,2013692,418549,-4,36.0,14.0,Active,0,0
361,57874,1799693,332829,-26,18.0,8.0,Active,0,0
362,57928,1567622,428621,-81,5.0,3.0,Active,0,0
363,58329,2006221,159690,-10,12.0,9.0,Active,0,0
364,58335,2159394,378398,-10,6.0,6.0,Active,0,0
365,58336,2254394,183439,-18,6.0,2.0,Active,0,0
366,58532,1388639,121850,-18,30.0,16.0,Active,0,0
367,58668,2727360,312393,-23,24.0,16.0,Active,0,0
368,58975,2369866,125387,-18,24.0,5.0,Active,0,0
369,59182,1121434,230786,-93,9.0,5.0,Active,0,0
370,59941,2323457,175406,-32,24.0,21.0,Active,0,0
371,60100,2109935,200663,-90,4.0,1.0,Active,0,0
372,60111,1398062,117639,-17,24.0,5.0,Active,2,2
373,60141,1912833,117639,-17,24.0,15.0,Active,2,2
374,60763,1549556,261350,-86,4.0,0.0,Active,23,0
375,60784,1744842,408186,-88,10.0,8.0,Active,0,0
376,60912,1724462,130316,-5,9.0,0.0,Completed,0,0
377,61315,2712659,101649,-25,18.0,16.0,Active,0,0
378,61328,1535996,344438,-20,36.0,31.0,Active,0,0
379,61354,1183919,101976,-66,24.0,23.0,Active,0,0
380,61458,2522080,391617,-18,12.0,8.0,Active,0,0
381,61761,1815522,340104,-12,24.0,2.0,Active,0,0
382,61918,1798630,402641,-81,10.0,8.0,Active,0,0
383,62145,1239688,200663,-20,12.0,12.0,Active,0,0
384,62177,1730719,163881,-24,36.0,28.0,Active,0,0
385,62246,2529185,161009,-17,6.0,6.0,Active,0,0
386,62287,2238806,202204,-66,12.0,12.0,Active,0,0
387,62485,2761723,138417,-11,24.0,9.0,Active,0,0
388,62887,1797053,293335,-75,9.0,5.0,Active,0,0
389,62998,1301663,180126,-17,6.0,5.0,Active,0,0
390,63018,1548477,301631,-11,3.0,3.0,Active,0,0
391,63301,2244720,152050,-16,18.0,17.0,Active,0,0
392,63598,2062840,328571,-11,18.0,5.0,Active,0,0
393,63633,2340032,380513,-3,48.0,44.0,Active,0,0
394,63743,1815522,340104,-26,24.0,16.0,Active,0,0
395,63902,1668896,134086,-11,30.0,18.0,Active,0,0
396,63966,2687204,452772,-34,12.0,7.0,Active,0,0
397,64027,1954404,266117,-11,36.0,12.0,Active,0,0
398,64670,1292896,316718,-17,6.0,6.0,Active,0,0
399,64777,2244720,152050,-8,8.0,0.0,Completed,0,0
400,64888,1818569,270220,-12,6.0,6.0,Active,0,0
401,65076,2109945,143162,-82,11.0,8.0,Active,0,0
402,65111,1561819,226289,-13,8.0,5.0,Active,0,0
403,65369,1476501,139588,-12,6.0,5.0,Active,0,0
404,65443,2107381,274495,-36,6.0,6.0,Signed,0,0
405,65709,2293559,147925,-12,18.0,15.0,Active,0,0
406,65867,2532423,334279,-12,36.0,36.0,Signed,0,0
407,66253,1989948,400619,-74,6.0,0.0,Completed,0,0
408,66317,2088964,104529,-66,12.0,10.0,Active,0,0
409,66538,2462784,380980,-86,6.0,1.0,Active,0,0
410,66714,2464604,376088,-3,12.0,3.0,Active,0,0
411,66772,1850106,237812,-55,6.0,1.0,Active,0,0
412,66886,1644610,133187,-11,12.0,8.0,Active,0,0
413,66934,1334926,428321,-35,10.0,7.0,Active,0,0
414,67429,2588704,139342,-1,60.0,17.0,Active,0,0
415,67885,2471807,272566,-26,60.0,60.0,Active,0,0
416,68528,2120556,156577,-2,24.0,19.0,Active,0,0
417,68625,1294221,102997,-75,8.0,1.0,Active,0,0
418,68729,1592612,158454,-4,12.0,1.0,Active,0,0
419,68733,1134213,112845,-3,12.0,3.0,Active,0,0
420,68750,1467288,161017,-4,12.0,4.0,Active,0,0
421,69046,1157766,220941,-3,24.0,7.0,Active,0,0
422,69605,2179178,173779,-17,36.0,31.0,Active,0,0
423,70364,1668903,188492,-4,36.0,22.0,Active,0,0
424,70387,2309690,337512,-3,36.0,16.0,Active,0,0
425,70482,1490664,140463,-5,36.0,23.0,Active,0,0
426,70704,2835325,205515,-12,4.0,0.0,Completed,0,0
427,70754,2471807,272566,-12,60.0,46.0,Active,0,0
428,70805,2788633,178176,-36,12.0,7.0,Active,0,0
429,70933,2256939,434006,-17,36.0,35.0,Active,0,0
430,71171,1406977,436665,-12,24.0,19.0,Active,0,0
431,71340,2102820,280366,-11,12.0,7.0,Active,0,0
432,71425,2303777,293335,-11,4.0,2.0,Active,0,0
433,71589,1516722,173236,-11,36.0,20.0,Active,0,0
434,71833,2466694,313509,-8,36.0,30.0,Active,0,0
435,72040,1547899,278837,-34,10.0,8.0,Active,0,0
436,72131,1231331,446535,-95,8.0,8.0,Active,0,0
437,72258,1774964,424359,-66,12.0,11.0,Active,0,0
438,72307,1844932,398239,-17,5.0,0.0,Completed,0,0
439,72342,1369118,204066,-8,18.0,4.0,Active,0,0
440,72400,1665125,123456,-25,12.0,8.0,Active,0,0
441,72462,2680358,345858,-12,24.0,10.0,Active,0,0
442,72557,1481401,267649,-17,18.0,13.0,Active,0,0
443,72662,1775180,410801,-9,18.0,15.0,Active,0,0
444,72756,2241602,241277,-17,12.0,4.0,Active,0,0
445,72803,1380922,279715,-11,24.0,14.0,Active,0,0
446,72904,1100639,373549,-19,12.0,11.0,Active,0,0
447,73469,1948418,135385,-14,10.0,10.0,Active,0,0
448,73585,1007876,362803,-6,24.0,23.0,Active,0,0
449,73836,2606465,158568,-9,12.0,11.0,Active,0,0
450,73898,1387242,188492,-19,54.0,48.0,Active,0,0
451,73931,2818826,273337,-13,48.0,42.0,Active,0,0
452,74194,2663253,440637,-39,10.0,3.0,Active,0,0
453,74261,1705555,239078,-17,6.0,6.0,Active,0,0
454,74628,1032072,340104,-48,10.0,3.0,Active,0,0
455,74701,2096026,266596,-18,42.0,35.0,Active,0,0
456,74710,2042873,291713,-19,18.0,10.0,Active,0,0
457,74738,1141423,143278,-6,12.0,12.0,Active,0,0
458,74805,2225889,220941,-10,24.0,7.0,Active,0,0
