,index,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
10,2039,1273538,360108,Cash loans,,0.0,0.0,,,WEDNESDAY,11,Y,1,,,,XNA,Canceled,-146,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
11,2046,1778978,152108,Revolving loans,,0.0,0.0,,,MONDAY,11,Y,1,,,,XAP,Canceled,-206,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
12,2116,1386320,309204,Consumer loans,6268.95,60749.775,67162.5,4.275,60749.775,SATURDAY,18,Y,1,6.931795722458962e-05,,,XAP,Approved,-793,Cash through the bank,XAP,,Repeater,Audio/Video,POS,XNA,Country-wide,1110,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-762.0,-432.0,-492.0,-484.0,0.0
13,2144,2595576,367106,Consumer loans,21166.38,164614.5,176386.5,0.0,164614.5,MONDAY,13,Y,1,0.0,,,XAP,Approved,-340,Cash through the bank,XAP,,Repeater,Jewelry,POS,XNA,Country-wide,98,Industry,10.0,middle,POS other with interest,,,,,,
14,2305,1009589,360472,Consumer loans,13096.62,125865.0,124492.5,12586.5,125865.0,SATURDAY,12,Y,1,0.09999958219182166,,,XAP,Approved,-2420,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Country-wide,1000,Consumer electronics,12.0,middle,POS household with interest,365243.0,-2388.0,-2058.0,-2058.0,-2055.0,0.0
15,2388,2360050,364192,Consumer loans,7303.275,33165.0,27409.5,6633.0,33165.0,WEDNESDAY,9,Y,1,0.21220356906807664,,,XAP,Approved,-1217,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,33,Connectivity,4.0,middle,POS mobile without interest,365243.0,-1186.0,-1096.0,-1096.0,-1093.0,0.0
16,2689,2602445,247080,Cash loans,,0.0,0.0,,,WEDNESDAY,9,Y,1,,,,XNA,Canceled,-252,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
17,2868,2297098,159099,Revolving loans,2250.0,45000.0,45000.0,,45000.0,MONDAY,14,Y,1,,,,XAP,Refused,-357,XNA,SCO,Unaccompanied,Repeater,XNA,Cards,walk-in,Country-wide,50,Connectivity,0.0,XNA,Card Street,,,,,,
18,3029,2269449,207107,Cash loans,6861.195,180000.0,239400.0,,180000.0,MONDAY,17,Y,1,,,,Urgent needs,Approved,-759,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_normal,Cash Street: low,365243.0,-729.0,1041.0,-489.0,-481.0,1.0
19,3366,2637489,415999,Consumer loans,,26024.175,26024.175,0.0,26024.175,SUNDAY,11,Y,1,0.0,,,XAP,Unused offer,-1125,Cash through the bank,CLIENT,,Refreshed,Mobile,XNA,XNA,Country-wide,45,Connectivity,,XNA,POS mobile with interest,,,,,,
20,3392,1696743,237154,Cash loans,19452.87,225000.0,279495.0,,225000.0,SATURDAY,14,Y,1,,,,XNA,Refused,-161,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),2,XNA,18.0,low_normal,Cash X-Sell: low,,,,,,
21,3630,1206715,153841,Consumer loans,11190.33,60255.0,60075.0,3015.0,60255.0,TUESDAY,14,Y,1,0.052046427181947866,,,XAP,Approved,-1571,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,2000,Consumer electronics,6.0,middle,POS household with interest,365243.0,-1540.0,-1390.0,-1450.0,-1447.0,0.0
22,3764,1077953,166979,Cash loans,12044.34,180000.0,203760.0,,180000.0,WEDNESDAY,10,Y,1,,,,XNA,Approved,-446,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,1100,Consumer electronics,24.0,middle,Cash X-Sell: middle,365243.0,-416.0,274.0,365243.0,365243.0,1.0
23,3765,2827178,166979,Consumer loans,2126.88,15291.0,16636.5,0.0,15291.0,WEDNESDAY,10,Y,1,0.0,,,XAP,Refused,-446,Cash through the bank,HC,,Repeater,Consumer Electronics,POS,XNA,Country-wide,1100,Consumer electronics,10.0,middle,POS household with interest,,,,,,
24,3829,1425297,154155,Cash loans,11443.77,135000.0,169186.5,,135000.0,THURSDAY,9,Y,1,,,,XNA,Approved,-770,Cashless from the account of the employer,XAP,Unaccompanied,Refreshed,XNA,Cash,walk-in,AP+ (Cash loan),2,XNA,36.0,high,Cash Street: high,365243.0,-740.0,310.0,-680.0,-675.0,1.0
25,4028,1824796,212327,Cash loans,17971.38,225000.0,247275.0,,225000.0,FRIDAY,10,Y,1,,,,XNA,Approved,-1425,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-1395.0,-885.0,-885.0,-876.0,1.0
26,4210,1451150,442378,Cash loans,28633.32,225000.0,271300.5,,225000.0,SUNDAY,11,Y,1,,,,XNA,Approved,-1062,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1032.0,-702.0,-822.0,-817.0,1.0
27,4424,2674475,123456,Consumer loans,7127.1,103500.0,103500.0,0.0,103500.0,MONDAY,16,Y,1,0.0,,,XAP,Approved,-1334,Cash through the bank,XAP,"Spouse, partner",Repeater,Computers,POS,XNA,Country-wide,2400,Consumer electronics,16.0,low_action,POS household without interest,365243.0,-1303.0,-853.0,-1093.0,-1090.0,0.0
28,4573,1123685,418539,Consumer loans,8953.83,79200.0,74677.5,11250.0,79200.0,WEDNESDAY,13,Y,1,0.14258849294198864,,,XAP,Refused,-2169,XNA,LIMIT,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,23,Connectivity,12.0,high,POS mobile with interest,,,,,,
29,4580,2550248,152680,Revolving loans,,0.0,0.0,,,WEDNESDAY,14,Y,1,,,,XAP,Canceled,-603,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
30,4691,2098872,393405,Consumer loans,31438.665,305910.0,275319.0,30591.0,305910.0,SUNDAY,14,Y,1,0.1089090909090909,,,XAP,Approved,-180,XNA,XAP,,Refreshed,Computers,POS,XNA,Stone,40,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-148.0,122.0,365243.0,365243.0,0.0
31,4737,2341307,348364,Consumer loans,11890.935,109287.0,107010.0,10930.5,109287.0,SUNDAY,13,Y,1,0.1009348627640054,,,XAP,Approved,-875,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,2178,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-844.0,-574.0,-574.0,-567.0,0.0
32,4861,1533001,152915,Revolving loans,38250.0,765000.0,765000.0,,765000.0,SATURDAY,13,Y,1,,,,XAP,Approved,-623,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,-619.0,-580.0,365243.0,365243.0,365243.0,0.0
33,5270,2601385,436669,Consumer loans,14804.46,94041.0,78957.0,18810.0,94041.0,FRIDAY,11,Y,1,0.20953696032403568,,,XAP,Approved,-2569,Cash through the bank,XAP,"Spouse, partner",New,Consumer Electronics,POS,XNA,Stone,360,Consumer electronics,6.0,middle,POS household without interest,365243.0,-2538.0,-2388.0,-2388.0,-2378.0,1.0
34,5453,1082105,307652,Revolving loans,2250.0,45000.0,45000.0,,45000.0,SUNDAY,9,Y,1,,,,XAP,Approved,-346,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,walk-in,AP+ (Cash loan),2,XNA,0.0,XNA,Card Street,-346.0,-298.0,365243.0,365243.0,365243.0,0.0
35,5721,1927463,374341,Cash loans,,0.0,0.0,,,MONDAY,11,Y,1,,,,XNA,Canceled,-443,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
36,5878,1310603,403860,Consumer loans,13647.78,85495.5,68476.5,20250.0,85495.5,FRIDAY,15,Y,1,0.24856261555556586,,,XAP,Approved,-1342,Cash through the bank,XAP,"Spouse, partner",Repeater,Audio/Video,POS,XNA,Country-wide,1810,Consumer electronics,6.0,high,POS household with interest,365243.0,-1311.0,-1161.0,-1161.0,-1158.0,0.0
37,5894,2800261,185059,Consumer loans,11388.87,113904.0,102510.0,11394.0,113904.0,WEDNESDAY,12,Y,1,0.1089435122399724,,,XAP,Approved,-2842,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Stone,36,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-2683.0,-2413.0,-2533.0,-2523.0,0.0
38,5958,1117661,139467,Cash loans,,0.0,0.0,,,WEDNESDAY,15,Y,1,,,,XNA,Canceled,-26,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
39,6062,1503436,291348,Cash loans,28742.67,450000.0,491580.0,,450000.0,SATURDAY,8,Y,1,,,,XNA,Approved,-1118,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Country-wide,30,Connectivity,24.0,middle,Cash X-Sell: middle,365243.0,-1086.0,-396.0,-396.0,-389.0,0.0
40,6070,2197430,170148,Cash loans,15083.64,148500.0,222966.0,,148500.0,WEDNESDAY,14,Y,1,,,,Urgent needs,Refused,-548,Cash through the bank,HC,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high,,,,,,
41,6096,1541608,321557,Consumer loans,10058.445,192141.0,192141.0,0.0,192141.0,SUNDAY,13,Y,1,0.0,,,XAP,Approved,-534,Cash through the bank,XAP,,Refreshed,Audio/Video,POS,XNA,Country-wide,180,Consumer electronics,24.0,low_normal,POS household with interest,365243.0,-503.0,187.0,365243.0,365243.0,0.0
42,6381,1462075,370957,Cash loans,21237.75,90000.0,104733.0,,90000.0,FRIDAY,16,Y,1,,,,Urgent needs,Approved,-427,Cash through the bank,XAP,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high,365243.0,-397.0,-247.0,-247.0,-243.0,1.0
43,6624,1647757,194300,Consumer loans,9505.62,112252.5,128920.5,0.0,112252.5,SUNDAY,16,Y,1,0.0,,,XAP,Approved,-1151,Cash through the bank,XAP,"Spouse, partner",Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,1000,Consumer electronics,18.0,middle,POS household with interest,365243.0,-1119.0,-609.0,-999.0,-990.0,0.0
44,7050,1708288,192458,Cash loans,28913.805,765000.0,896274.0,,765000.0,FRIDAY,11,Y,1,,,,XNA,Refused,-364,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low,,,,,,
45,7087,1375565,310553,Consumer loans,8974.305,80086.5,88015.5,0.0,80086.5,FRIDAY,9,Y,1,0.0,,,XAP,Approved,-1431,Cash through the bank,XAP,"Spouse, partner",Refreshed,Audio/Video,POS,XNA,Country-wide,900,Consumer electronics,12.0,middle,POS household with interest,365243.0,-1400.0,-1070.0,-1070.0,-1065.0,0.0
46,7355,2142248,354267,Cash loans,37273.77,729000.0,729000.0,,729000.0,MONDAY,9,Y,1,,,,XNA,Approved,-1065,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,middle,Cash X-Sell: middle,,,,,,
47,7659,1238180,374994,Consumer loans,3394.395,22495.5,18945.0,4500.0,22495.5,TUESDAY,9,Y,1,0.2090385622055487,,,XAP,Approved,-1096,XNA,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Regional / Local,148,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-1065.0,-915.0,-915.0,-901.0,0.0
48,7728,2564791,152108,Consumer loans,10913.58,106515.0,107671.5,10651.5,106515.0,SUNDAY,11,Y,1,0.098040548483235,,,XAP,Approved,-585,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,48,Connectivity,14.0,high,POS mobile with interest,365243.0,-549.0,-159.0,-189.0,-186.0,0.0
49,7743,1137550,166925,Consumer loans,4745.88,44100.0,48757.5,0.0,44100.0,FRIDAY,14,Y,1,0.0,,,XAP,Approved,-646,Cash through the bank,XAP,Unaccompanied,Refreshed,Consumer Electronics,POS,XNA,Stone,100,Consumer electronics,12.0,low_normal,POS household without interest,365243.0,-615.0,-285.0,-315.0,-308.0,0.0
50,8030,2525791,318613,Consumer loans,13201.335,79677.0,71707.5,7969.5,79677.0,WEDNESDAY,19,Y,1,0.10893369479272563,,,XAP,Approved,-306,Cash through the bank,XAP,,New,Jewelry,POS,XNA,Country-wide,100,Industry,6.0,middle,POS other with interest,365243.0,-275.0,-125.0,-185.0,-183.0,0.0
51,8066,2488676,129329,Cash loans,25408.395,607500.0,703728.0,,607500.0,TUESDAY,15,Y,1,,,,XNA,Refused,-172,Cash through the bank,HC,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,48.0,low_normal,Cash X-Sell: low,,,,,,
52,8356,1134213,112845,Cash loans,24461.28,238500.0,251091.0,,238500.0,MONDAY,8,Y,1,,,,XNA,Approved,-354,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-324.0,6.0,-54.0,-47.0,1.0
53,8587,2567440,367137,Consumer loans,14527.395,70650.0,79330.5,0.0,70650.0,TUESDAY,12,Y,1,0.0,,,XAP,Approved,-127,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,60,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-95.0,55.0,365243.0,365243.0,0.0
54,8631,1845980,185448,Cash loans,50929.65,720000.0,757066.5,,720000.0,TUESDAY,13,Y,1,,,,XNA,Approved,-281,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_normal,Cash X-Sell: low,365243.0,-251.0,259.0,365243.0,365243.0,1.0
55,8831,2563993,234586,Cash loans,16092.0,157500.0,199071.0,0.0,157500.0,WEDNESDAY,19,Y,1,0.0,,,Everyday expenses,Refused,-1749,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high,,,,,,
56,9095,1323938,422839,Cash loans,23769.135,270000.0,299223.0,,270000.0,FRIDAY,12,Y,1,,,,XNA,Refused,-997,Non-cash from your account,LIMIT,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high,,,,,,
57,9287,1069793,435099,Cash loans,33987.78,450000.0,506524.5,,450000.0,THURSDAY,14,Y,1,,,,XNA,Approved,-511,XNA,XAP,"Spouse, partner",Refreshed,XNA,Cash,x-sell,Contact center,-1,XNA,18.0,low_normal,Cash X-Sell: low,365243.0,-481.0,29.0,365243.0,365243.0,1.0
58,9464,1578708,267247,Cash loans,,0.0,0.0,,,SUNDAY,7,Y,1,,,,XNA,Canceled,-302,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
59,9522,1136932,133675,Revolving loans,,0.0,0.0,,,THURSDAY,14,Y,1,,,,XAP,Canceled,-215,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
60,9963,2456351,398583,Cash loans,,0.0,0.0,,,FRIDAY,8,Y,1,,,,XNA,Canceled,-376,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
61,10210,2639131,280435,Cash loans,,0.0,0.0,,,SATURDAY,15,Y,1,,,,XNA,Canceled,-578,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
62,10363,2142095,333030,Consumer loans,7031.43,42196.5,39658.5,2538.0,42196.5,MONDAY,17,Y,1,0.06550573453420842,,,XAP,Refused,-2646,Cash through the bank,SCO,Group of people,Repeater,Computers,POS,XNA,Country-wide,3100,Consumer electronics,6.0,low_normal,POS household without interest,,,,,,
63,10491,1671737,418599,Cash loans,10555.11,157500.0,178290.0,,157500.0,MONDAY,9,Y,1,,,,XNA,Approved,-784,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,middle,Cash X-Sell: middle,365243.0,-754.0,-64.0,-424.0,-421.0,1.0
64,10548,1946144,144999,Consumer loans,8920.935,78705.0,87016.5,0.0,78705.0,SATURDAY,13,Y,1,0.0,,,XAP,Approved,-602,Cash through the bank,XAP,Unaccompanied,New,Furniture,POS,XNA,Stone,50,Furniture,12.0,middle,POS industry with interest,365243.0,-567.0,-237.0,-447.0,-440.0,0.0
65,10563,2632193,441042,Consumer loans,13767.885,70060.5,75145.5,0.0,70060.5,SATURDAY,8,Y,1,0.0,,,XAP,Approved,-165,Cash through the bank,XAP,Family,Refreshed,Audio/Video,POS,XNA,Regional / Local,250,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-135.0,15.0,365243.0,365243.0,1.0
66,10842,1000009,343078,Consumer loans,9302.85,42705.0,45243.0,0.0,42705.0,SATURDAY,11,Y,1,0.0,,,XAP,Approved,-488,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Regional / Local,121,Consumer electronics,6.0,high,POS household with interest,365243.0,-457.0,-307.0,-307.0,-305.0,0.0
67,11080,1406081,415045,Consumer loans,3632.805,20767.5,19615.5,2079.0,20767.5,THURSDAY,12,Y,1,0.10436838830118232,,,XAP,Approved,-1167,Cash through the bank,XAP,Unaccompanied,Repeater,Construction Materials,POS,XNA,Stone,50,Consumer electronics,6.0,middle,POS household with interest,365243.0,-1135.0,-985.0,-985.0,-982.0,0.0
68,11136,2556915,364690,Cash loans,4922.37,81000.0,81000.0,,81000.0,SUNDAY,7,Y,1,,,,XNA,Approved,-372,XNA,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Contact center,0,XNA,36.0,high,Cash X-Sell: high,365243.0,-342.0,708.0,-72.0,-65.0,0.0
69,11235,1060174,313900,Cash loans,,0.0,0.0,,,SUNDAY,11,Y,1,,,,XNA,Canceled,-199,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
70,11485,2073923,345539,Consumer loans,11619.045,170392.5,57892.5,112500.0,170392.5,SATURDAY,11,Y,1,0.7190617384728041,,,XAP,Approved,-2684,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Country-wide,90,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-2653.0,-2503.0,-2503.0,-2501.0,0.0
71,11583,1845833,261673,Consumer loans,5737.41,57383.235,51642.0,5741.235,57383.235,SUNDAY,18,Y,1,0.10896434900288464,,,XAP,Approved,-2661,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,980,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2630.0,-2360.0,-2360.0,-2353.0,0.0
72,11824,1928330,208177,Consumer loans,40178.745,224550.0,224550.0,0.0,224550.0,THURSDAY,9,Y,1,0.0,,,XAP,Approved,-64,Cash through the bank,XAP,,Repeater,Tourism,POS,XNA,Stone,13,Tourism,6.0,low_normal,POS other with interest,365243.0,-34.0,116.0,365243.0,365243.0,0.0
73,12149,1838356,161912,Revolving loans,6750.0,135000.0,135000.0,,135000.0,SATURDAY,15,Y,1,,,,XAP,Refused,-830,XNA,HC,,Repeater,XNA,Cards,walk-in,AP+ (Cash loan),5,XNA,0.0,XNA,Card Street,,,,,,
74,12173,1657272,273496,Cash loans,28693.125,450000.0,497520.0,,450000.0,TUESDAY,12,Y,1,,,,Repairs,Refused,-97,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle,,,,,,
75,12202,2081498,144451,Cash loans,,0.0,0.0,,,MONDAY,9,Y,1,,,,XNA,Refused,-487,XNA,HC,,Repeater,XNA,XNA,XNA,AP+ (Cash loan),100,XNA,,XNA,Cash,,,,,,
76,12648,1767246,354654,Cash loans,37508.445,360000.0,450499.5,0.0,360000.0,FRIDAY,17,Y,1,0.0,,,XNA,Approved,-2026,Cash through the bank,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,18.0,high,Cash X-Sell: high,365243.0,-1996.0,-1486.0,-1486.0,-1471.0,1.0
77,12861,1414517,378610,Consumer loans,14169.825,102105.0,110529.0,0.0,102105.0,SATURDAY,9,Y,1,0.0,,,XAP,Approved,-1679,XNA,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,280,Consumer electronics,10.0,high,POS household with interest,365243.0,-1637.0,-1367.0,-1397.0,-1391.0,0.0
78,12937,1752288,333071,Cash loans,28568.88,270000.0,284611.5,,270000.0,SATURDAY,14,Y,1,,,,XNA,Approved,-647,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,AP+ (Cash loan),5,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-617.0,-287.0,-287.0,-282.0,1.0
79,12951,2661522,212899,Consumer loans,5298.795,25155.0,26401.5,0.0,25155.0,WEDNESDAY,17,Y,1,0.0,,,XAP,Approved,-2477,Cash through the bank,XAP,Unaccompanied,Refreshed,Mobile,POS,XNA,Country-wide,32,Connectivity,6.0,high,POS mobile with interest,365243.0,-2446.0,-2296.0,-2326.0,-2319.0,1.0
80,12966,1531627,241277,Revolving loans,0.0,0.0,0.0,,,TUESDAY,11,Y,1,,,,XAP,Approved,-1457,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,29,Connectivity,0.0,XNA,Card Street,-1454.0,365243.0,365243.0,365243.0,365243.0,0.0
81,13432,1910308,189207,Cash loans,27574.47,675000.0,767664.0,,675000.0,WEDNESDAY,10,Y,1,,,,Building a house or an annex,Approved,-749,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,low_normal,Cash Street: low,365243.0,-719.0,691.0,-419.0,-414.0,1.0
82,13492,1956295,282998,Consumer loans,6633.585,68400.0,75622.5,0.0,68400.0,WEDNESDAY,16,Y,1,0.0,,,XAP,Approved,-641,Cash through the bank,XAP,,New,Computers,POS,XNA,Country-wide,1657,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-610.0,-280.0,-280.0,-273.0,0.0
