,index,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
38,6298,1940329,277024,-7,0.0,45000,0.0,0.0,0.0,0.0,0.0,189.315,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,Active,0,0
39,6305,1839981,279715,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,Completed,0,0
40,6362,1627369,321557,-6,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
41,6448,1044526,114850,-7,0.0,45000,0.0,0.0,0.0,0.0,0.0,4675.59,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,Active,0,0
42,6926,1905201,156577,-16,0.0,225000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
43,7024,1745194,236360,-24,0.0,112500,0.0,0.0,0.0,0.0,0.0,176.31,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,41.0,Active,0,0
44,7297,1363519,223606,-57,0.0,0,0.0,0.0,0.0,0.0,0.0,355.41,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,14.0,Active,0,0
45,7380,1126360,162873,-88,62304.795,180000,58500.0,58500.0,0.0,0.0,,0.0,0.0,58500.0,62304.795,62304.795,2.0,2,0.0,0.0,,Active,0,0
46,7789,1243187,263339,-94,138312.45,180000,6750.0,6750.0,0.0,0.0,6750.0,6750.0,6750.0,132868.845,138312.45,138312.45,2.0,2,0.0,0.0,11.0,Active,0,0
47,7998,1060977,116871,-66,0.0,157500,0.0,0.0,0.0,0.0,0.0,1596.825,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,Active,0,0
48,8248,2287948,197946,-69,29002.95,135000,0.0,0.0,0.0,0.0,6750.0,13500.0,13500.0,26279.775,29002.95,29002.95,0.0,0,0.0,0.0,9.0,Active,0,0
49,8349,1416962,389964,-64,163110.735,180000,0.0,0.0,0.0,0.0,9000.0,18000.0,18000.0,157882.68,163110.735,163110.735,0.0,0,0.0,0.0,7.0,Active,0,0
50,8396,1327769,318386,-69,128651.49,157500,0.0,0.0,0.0,0.0,7875.0,7875.0,7875.0,123383.655,128651.49,128651.49,0.0,0,0.0,0.0,11.0,Active,0,0
51,8638,2340729,187668,-9,326241.81,450000,0.0,0.0,0.0,0.0,16796.115,18000.0,18000.0,317922.66,326241.81,326241.81,0.0,0,0.0,0.0,11.0,Active,0,0
52,8664,1268324,155650,-12,0.0,180000,0.0,12933.855,0.0,12933.855,2250.0,54000.0,51541.29,0.0,0.0,0.0,0.0,3,0.0,3.0,13.0,Active,0,0
53,9055,1276259,207714,-13,256522.77,270000,0.0,0.0,0.0,0.0,13194.81,13500.0,13500.0,250395.84,256522.77,256522.77,0.0,0,0.0,0.0,22.0,Active,0,0
54,9379,1260518,154402,-13,130543.56,135000,0.0,0.0,0.0,0.0,6463.035,0.0,0.0,122510.7,129600.225,129600.225,0.0,0,0.0,0.0,18.0,Active,0,0
55,9621,1640149,362382,-79,44735.22,45000,45000.0,45000.0,0.0,0.0,,3600.0,3600.0,41400.0,44735.22,44735.22,5.0,5,0.0,0.0,,Active,0,0
56,9829,2208091,302749,-82,69102.495,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,66309.075,69102.495,69102.495,0.0,0,0.0,0.0,9.0,Active,1,1
57,9963,1861272,263482,-85,119855.97,180000,0.0,0.0,0.0,0.0,9000.0,13500.0,13500.0,115220.475,119855.97,119855.97,0.0,0,0.0,0.0,18.0,Active,0,0
58,10320,1839896,427145,-5,0.0,225000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
59,10335,2388600,405512,-5,0.0,180000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
60,10406,2371297,422839,-5,0.0,225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,Completed,0,0
61,10479,2166782,220516,-6,0.0,67500,0.0,0.0,0.0,0.0,0.0,5478.57,5478.57,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,Active,0,0
62,10589,2629282,174539,-6,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
63,10630,1560405,297313,-5,0.0,337500,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
64,10642,2421787,188120,-6,226777.41,540000,0.0,75771.0,0.0,75771.0,7249.32,13500.0,13500.0,218954.475,225091.485,225091.485,0.0,2,0.0,2.0,12.0,Active,0,0
65,10805,1945101,384429,-5,395404.11,382500,90000.0,151836.165,0.0,61836.165,13463.28,45859.365,45859.365,381649.5,390224.43,390224.43,1.0,30,0.0,29.0,6.0,Active,0,0
66,10829,2499250,223585,-6,0.0,45000,0.0,39.33,0.0,0.0,643.725,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,Completed,0,0
67,10843,1783548,311820,-6,28908.0,202500,0.0,28908.0,0.0,28908.0,0.0,,0.0,28908.0,28908.0,28908.0,0.0,2,0.0,2.0,0.0,Active,0,0
68,10868,1941540,364416,-3,145158.21,225000,0.0,72283.95,0.0,72283.95,3337.92,9000.0,1768.455,144319.635,145158.21,145158.21,0.0,10,0.0,10.0,7.0,Active,0,0
69,10919,2475922,433606,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,61.0,Completed,0,0
70,10944,1327769,318386,-1,0.0,0,0.0,0.0,0.0,0.0,0.0,132.795,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,64.0,Active,0,0
71,11131,1258945,355404,-5,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
72,11132,1420732,207107,-5,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
73,11202,1449880,203807,-5,383239.17,409500,0.0,0.0,0.0,0.0,21455.415,22500.0,1416.015,376679.565,383239.17,383239.17,0.0,0,0.0,0.0,36.0,Active,0,0
74,11279,2340729,187668,-2,258883.605,450000,0.0,0.0,0.0,0.0,14389.245,18000.0,18000.0,251784.585,258883.605,258883.605,0.0,0,0.0,0.0,18.0,Active,0,0
75,11678,2457966,344438,-11,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
76,11878,2356129,424359,-17,0.0,45000,0.0,0.0,0.0,0.0,0.0,2282.985,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Active,0,0
77,12079,1852252,328614,-11,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
78,12374,2286154,454648,-8,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
79,12614,1135388,390094,-14,87347.295,135000,0.0,0.0,0.0,0.0,9450.0,18900.0,9450.0,85658.625,87702.795,87702.795,0.0,0,0.0,0.0,28.0,Active,0,0
80,12721,1381395,418539,-22,0.0,135000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,31.0,Completed,0,0
81,13260,1282185,424020,-25,0.0,180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,48.0,Completed,0,0
82,13262,2729862,209288,-28,0.0,90000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,27.0,Completed,0,0
83,13352,2804976,197582,-40,0.0,450000,,0.0,,,,29475.0,29475.0,0.0,0.0,0.0,,0,,,,Active,0,0
84,13354,1430593,124734,-40,0.0,0,0.0,524.565,0.0,0.0,0.0,524.565,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
85,13428,2395057,200987,-33,0.0,45000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
86,13443,1644645,332161,-32,0.0,180000,0.0,0.0,0.0,0.0,0.0,252.54,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
87,13455,1007402,204195,-41,1575.0,0,,0.0,,,,,0.0,0.0,1575.0,1575.0,,0,,,,Active,0,0
88,13849,1126360,162873,-34,0.0,180000,0.0,0.0,0.0,0.0,0.0,352.26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
89,13865,1625325,335736,-40,65459.655,67500,0.0,0.0,0.0,0.0,3375.0,3600.0,3600.0,62871.39,65459.655,65459.655,0.0,0,0.0,0.0,57.0,Active,0,0
90,13967,1374808,311535,-41,0.0,0,0.0,0.0,0.0,0.0,0.0,1437.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,Active,0,0
91,13988,1852252,328614,-35,0.0,157500,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
92,14047,2506227,437709,-38,31159.08,225000,0.0,3758.4,0.0,3758.4,2927.655,56925.0,56925.0,27886.23,31159.08,31159.08,0.0,1,0.0,1.0,1.0,Active,0,0
93,14119,1381395,418539,-69,152.415,135000,0.0,0.0,0.0,0.0,101.97,17.055,0.0,0.0,152.415,152.415,0.0,0,0.0,0.0,20.0,Active,1,0
94,14123,2077456,336515,-67,8958.78,67500,0.0,0.0,0.0,0.0,3375.0,6750.0,6750.0,7682.265,8958.78,8958.78,0.0,0,0.0,0.0,32.0,Active,0,0
95,14147,1855530,217602,-69,0.0,63000,0.0,0.0,0.0,0.0,0.0,181.17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,Active,0,0
96,14164,1416962,389964,-60,147579.345,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,142502.22,147579.345,147579.345,0.0,0,0.0,0.0,11.0,Active,0,0
97,14315,1444488,333030,-67,134867.07,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,129972.69,134867.07,134867.07,0.0,0,0.0,0.0,33.0,Active,0,0
98,14918,1061295,167947,-12,0.0,135000,0.0,0.0,0.0,0.0,0.0,1134.045,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,Active,0,0
99,15029,2629282,174539,-12,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
100,15103,1780369,314418,-12,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
101,15336,2189176,273364,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,1.08,1.08,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,Active,0,0
102,15438,1548194,172359,-5,0.0,0,0.0,0.0,0.0,0.0,0.0,234.945,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,Active,0,0
103,15632,2023082,395682,-3,65566.755,67500,0.0,0.0,0.0,0.0,3375.0,3600.0,3600.0,63538.11,65566.755,65566.755,0.0,0,0.0,0.0,59.0,Active,0,0
104,15647,1127908,393236,-5,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
105,15738,2697917,176676,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,4.23,4.23,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,Active,0,0
106,15920,1035156,312825,-11,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
107,15969,2126638,129329,-11,0.0,112500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,56.0,Completed,0,0
108,16223,1417410,242266,-17,0.0,135000,0.0,0.0,0.0,0.0,0.0,321.435,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,Active,0,0
109,16421,1421000,128259,-16,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
110,16617,2340716,140463,-19,0.0,225000,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,78.0,Active,0,0
111,16838,1255246,167939,-18,0.0,180000,0.0,0.0,0.0,0.0,0.0,288.495,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,49.0,Active,0,0
112,16861,2100497,330753,-20,0.0,765000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
113,17183,1380862,257000,-51,0.0,0,0.0,0.0,0.0,0.0,0.0,4065.93,0.0,0.0,-4065.93,-4065.93,0.0,0,0.0,0.0,6.0,Active,0,0
114,17716,2728782,273337,-45,0.0,135000,0.0,0.0,0.0,0.0,0.0,3478.635,0.0,0.0,-3478.635,-3478.635,0.0,0,0.0,0.0,29.0,Active,0,0
115,18175,1025144,340198,-11,0.0,67500,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
116,18284,2814177,294164,-11,326836.125,540000,60750.0,66705.3,0.0,5955.3,12869.37,13050.0,13050.0,311043.06,320274.09,320274.09,3.0,8,0.0,5.0,6.0,Active,0,0
117,18388,2208091,302749,-4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,56.0,Completed,0,0
118,18403,1686205,233093,-10,0.0,45000,0.0,0.0,0.0,0.0,0.0,1510.02,1510.02,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Active,0,0
119,18405,2553558,200185,-11,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
120,18415,2254415,139342,-8,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
121,18416,1611098,220416,-10,111168.72,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,102516.39,111168.72,111168.72,0.0,0,0.0,0.0,81.0,Active,0,0
122,18471,1915664,190566,-11,0.0,45000,0.0,0.0,0.0,0.0,0.0,85.365,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,Active,0,0
123,19046,1815015,235737,-17,28045.575,270000,0.0,0.0,0.0,0.0,13500.0,0.0,0.0,19235.745,28045.575,28045.575,0.0,0,0.0,0.0,54.0,Active,1,1
124,19189,1899361,207844,-23,46348.245,765000,0.0,0.0,0.0,0.0,2393.73,2475.0,2475.0,44538.93,47361.69,47361.69,0.0,0,0.0,0.0,4.0,Active,0,0
125,19412,1386416,419705,-24,395300.61,450000,0.0,0.0,0.0,0.0,20067.03,22500.0,22500.0,378840.735,395300.61,395300.61,0.0,0,0.0,0.0,20.0,Active,0,0
126,19527,2275733,367106,-76,132600.15,135000,0.0,0.0,0.0,0.0,6750.0,11250.0,11250.0,127553.265,132600.15,132600.15,0.0,0,0.0,0.0,8.0,Active,0,0
127,19712,2581632,336956,-86,63980.37,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,61647.39,63980.37,63980.37,0.0,0,0.0,0.0,14.0,Active,0,0
128,19766,1381395,418539,-85,102996.63,135000,0.0,0.0,0.0,0.0,6750.0,13500.0,13500.0,98567.595,102996.63,102996.63,0.0,0,0.0,0.0,4.0,Active,0,0
129,20100,1033702,252782,-8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,Completed,0,0
130,20109,2826569,414574,-7,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
131,20217,1760973,176236,-5,0.0,135000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,Completed,0,0
132,20499,1430593,124734,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
133,20583,1397994,220501,-8,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
134,20999,2058302,319020,-21,222.48,90000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.48,222.48,0.0,0,0.0,0.0,29.0,Active,1036,0
135,21094,2082695,143647,-12,0.0,0,0.0,0.0,0.0,0.0,0.0,505.53,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,Active,0,0
136,21288,1295010,269850,-15,0.0,225000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
137,21352,2085756,429846,-21,894.645,225000,0.0,898.515,0.0,898.515,0.0,3.87,3.87,894.645,894.645,894.645,0.0,1,0.0,1.0,2.0,Active,0,0
138,21832,2683449,279166,-7,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
139,21860,1280200,292397,-85,69875.415,67500,0.0,0.0,0.0,0.0,3375.0,0.0,0.0,67500.0,69875.415,69875.415,0.0,0,0.0,0.0,1.0,Active,1,1
140,22421,1364479,379048,-50,95.805,90000,0.0,0.0,0.0,0.0,4500.0,30600.0,30600.0,0.0,-85.5,-85.5,0.0,0,0.0,0.0,42.0,Active,0,0
141,22512,2356226,384656,-50,0.0,0,0.0,0.0,0.0,0.0,0.0,163.215,0.0,0.0,-163.215,-163.215,0.0,0,0.0,0.0,8.0,Active,0,0
142,22543,1308477,135788,-51,0.0,0,0.0,0.0,0.0,0.0,0.0,576.405,0.0,0.0,-576.405,-576.405,0.0,0,0.0,0.0,20.0,Active,0,0
143,22821,2341211,398852,-50,0.0,0,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
144,22844,2275733,367106,-41,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-433.485,-433.485,0.0,0,0.0,0.0,21.0,Active,0,0
145,22941,1417207,397304,-50,0.0,135000,0.0,0.0,0.0,0.0,0.0,370.08,0.0,0.0,-437.58,-437.58,0.0,0,0.0,0.0,29.0,Active,0,0
146,23079,1627556,214518,-50,0.0,0,0.0,0.0,0.0,0.0,0.0,343.62,0.0,0.0,-343.62,-343.62,0.0,0,0.0,0.0,25.0,Active,0,0
147,23160,1839981,279715,-50,65992.5,180000,0.0,0.0,0.0,0.0,9000.0,11250.0,11250.0,61693.38,65992.5,65992.5,0.0,0,0.0,0.0,40.0,Active,0,0
148,23174,1462646,301939,-50,108.135,45000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.135,108.135,0.0,0,0.0,0.0,20.0,Active,336,0
149,23192,1643727,355991,-45,0.0,67500,0.0,0.0,0.0,0.0,0.0,138.69,0.0,0.0,-206.19,-206.19,0.0,0,0.0,0.0,10.0,Active,0,0
150,23517,2617693,228354,-60,133396.245,157500,0.0,0.0,0.0,0.0,7875.0,15750.0,15750.0,127975.95,133396.245,133396.245,0.0,0,0.0,0.0,20.0,Signed,0,0
151,23532,1940453,385975,-50,40816.935,45000,0.0,2218.14,0.0,2218.14,2250.0,4500.0,4500.0,39136.905,40816.935,40816.935,0.0,2,0.0,2.0,17.0,Active,0,0
152,23666,1000850,305987,-56,133836.885,135000,0.0,0.0,0.0,0.0,6750.0,6750.0,6750.0,129696.705,133836.885,133836.885,0.0,0,0.0,0.0,27.0,Active,0,0
153,23744,1381395,418539,-59,84.915,135000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.915,84.915,0.0,0,0.0,0.0,29.0,Active,31,0
154,24710,2832921,341715,-84,135003.51,157500,0.0,0.0,0.0,0.0,7875.0,7875.0,7875.0,130507.335,135003.51,135003.51,0.0,0,0.0,0.0,11.0,Active,0,0
155,24733,1940450,343458,-93,0.0,67500,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
156,24790,2340716,140463,-87,176037.795,180000,0.0,0.0,0.0,0.0,10800.0,10800.0,10800.0,168922.89,176037.795,176037.795,0.0,0,0.0,0.0,16.0,Active,0,0
